target_id,SRR13824033,SRR13824030,SRR13824004,SRR13824032,SRR13823989,SRR13824011,SRR13824003,SRR13823991,SRR13824015,SRR13823996,SRR13824001,SRR13824025,SRR13823990,SRR13824014,SRR13823992,SRR13823988,SRR13824009,SRR13824031,SRR13824020,SRR13824007,SRR13824022,SRR13824005,SRR13823994,SRR13824023,SRR13824021,SRR13824008,SRR13824024,SRR13824012,SRR13824039,SRR13823997,SRR13824028,SRR13824002,SRR13824018,SRR13824034,SRR13824010,SRR13824013,SRR13824029,SRR13824016,SRR13824035,SRR13824026,SRR13824019,SRR13824000,SRR13824006,SRR13823998,SRR13823995,SRR13824027,SRR13823999,SRR13824017,SRR13823993
AT1G01010.1,6.0,17.0,18.0,65.0,11.0,0.0,6.0,12.0,69.0,32.0,1.0,40.0,5.0,32.0,29.0,2.0,0.0,0.0,110.0,4.0,152.0,1.0,65.0,2.0,0.0,20.0,26.0,70.0,0.0,0.0,13.0,4.0,27.0,168.0,20.0,28.0,10.0,19.0,0.0,9.0,0.0,8.0,11.0,52.0,42.0,16.0,2.0,32.0,34.0
AT1G01020.1,0.0,2.28492e-08,0.0,1.94631e-08,1.9882e-08,0.0,5.5129e-08,5.25137e-08,0.0,2.15428e-08,0.0,1.04699e-08,3.9138e-08,2.85595e-08,8.91294e-08,0.0,7.11733e-08,0.0,0.0,0.0,9.92824e-09,0.0,49.0718,0.0,0.0,1.536e-07,4.92488,0.0,0.0,0.0,1.51439e-08,3.45447e-08,0.0,6.19973e-08,9.00068e-08,1.72096e-08,1.58238e-08,2.79888e-08,0.0,1.75387e-08,0.0,0.0,3.15782e-08,21.6429,2.10561e-08,0.0,0.0,3.94515e-08,6.16084e-08
AT1G01020.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.70398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G01020.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G01020.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G01020.5,0.0,9.91989,0.0,32.637,6.45157,0.0,3.30663,29.7597,3.30663,26.1388,0.0,19.627,3.30663,19.954,23.1464,0.0,8.0,3.30663,28.5859,0.0,68.0423,0.0,1.08625,0.0,0.0,13.2265,0.0,22.9125,0.0,0.0,6.45073,3.09005,3.30663,94.2342,6.60221,29.328,6.61326,12.8652,0.0,10.9315,0.0,0.0,9.91989,0.0,50.6903,0.0,0.0,6.61326,13.2265
AT1G01020.6,15.0,53.0801,31.0,175.363,98.5484,0.0,41.6934,23.2403,98.6934,191.861,43.0,251.373,32.6934,69.0806,44.8536,130.0,0.0,10.6934,449.414,23.0,488.958,38.0,184.842,6.0,10.0,32.7735,148.421,270.087,0.0,2.0,91.5493,32.9099,120.693,144.766,40.3978,176.672,75.3867,82.1348,5.0,61.3217,32.0,26.0,79.0801,186.357,158.31,86.0,4.0,103.387,83.7735
AT1G01030.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G01030.2,0.0,4.0,2.0,33.0,3.0,0.0,2.0,0.0,11.0,34.0,2.0,14.0,1.0,5.0,7.0,9.0,1.0,1.0,5.31809e-05,1.0,62.0,5.0,26.0,0.0,1.0,5.0,19.0,27.0,0.0,1.0,8.0,0.0,12.0,18.0,2.0,6.0,7.0,4.0,1.0,9.0,0.0,0.0,11.0,44.0,33.0,4.0,0.0,6.0,8.0
AT1G01040.1,10.0,87.0,37.0,307.0,68.0,0.0,58.0,55.0,175.0,282.0,44.0,251.0,19.0,98.0,101.0,93.0,5.0,17.0,548.0,20.0,677.0,45.0,310.0,0.0,8.0,72.0,191.0,460.0,0.0,0.0,89.0,49.0,147.0,464.0,74.0,218.0,70.0,73.0,5.0,103.0,27.0,32.0,107.0,360.0,250.0,110.0,0.0,114.0,104.0
