Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,Library,LibraryLayout,LibrarySelection,LibrarySource,Line,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment,create_date,version
SRR8800677,RNA-Seq,150,339674433,PRJNA529701,SAMN11281632,117317747,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5589487,GSM3690288,Illumina HiSeq 3000,3859.M,SINGLE,cDNA,TRANSCRIPTOMIC,Col-0,Arabidopsis thaliana,ILLUMINA,2019-03-29T00:00:00Z,GSM3690288,leaf,SRP189792,Mock,2019-03-28T17:17:00Z,1
SRR8800678,RNA-Seq,150,206098765,PRJNA529701,SAMN11281632,84017539,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5589487,GSM3690288,Illumina HiSeq 3000,3859.M,SINGLE,cDNA,TRANSCRIPTOMIC,Col-0,Arabidopsis thaliana,ILLUMINA,2019-03-29T00:00:00Z,GSM3690288,leaf,SRP189792,Mock,2019-03-28T17:16:00Z,1
SRR8800679,RNA-Seq,150,997370421,PRJNA529701,SAMN11281632,364105863,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5589487,GSM3690288,Illumina HiSeq 3000,3859.M,SINGLE,cDNA,TRANSCRIPTOMIC,Col-0,Arabidopsis thaliana,ILLUMINA,2019-03-29T00:00:00Z,GSM3690288,leaf,SRP189792,Mock,2019-03-28T17:19:00Z,1
SRR8800680,RNA-Seq,150,753827543,PRJNA529701,SAMN11281632,284871956,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5589487,GSM3690288,Illumina HiSeq 3000,3859.M,SINGLE,cDNA,TRANSCRIPTOMIC,Col-0,Arabidopsis thaliana,ILLUMINA,2019-03-29T00:00:00Z,GSM3690288,leaf,SRP189792,Mock,2019-03-28T17:18:00Z,1
SRR8800681,RNA-Seq,150,789217740,PRJNA529701,SAMN11281632,298915619,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5589487,GSM3690288,Illumina HiSeq 3000,3859.M,SINGLE,cDNA,TRANSCRIPTOMIC,Col-0,Arabidopsis thaliana,ILLUMINA,2019-03-29T00:00:00Z,GSM3690288,leaf,SRP189792,Mock,2019-03-28T17:18:00Z,1
SRR8800682,RNA-Seq,150,363307174,PRJNA529701,SAMN11281631,124996410,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5589488,GSM3690289,Illumina HiSeq 3000,3859.N,SINGLE,cDNA,TRANSCRIPTOMIC,Col-0,Arabidopsis thaliana,ILLUMINA,2019-03-29T00:00:00Z,GSM3690289,leaf,SRP189792,Mock,2019-03-28T17:17:00Z,1
SRR8800683,RNA-Seq,150,216691121,PRJNA529701,SAMN11281631,87815092,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5589488,GSM3690289,Illumina HiSeq 3000,3859.N,SINGLE,cDNA,TRANSCRIPTOMIC,Col-0,Arabidopsis thaliana,ILLUMINA,2019-03-29T00:00:00Z,GSM3690289,leaf,SRP189792,Mock,2019-03-28T17:17:00Z,1
SRR8800684,RNA-Seq,150,1034331479,PRJNA529701,SAMN11281631,375623412,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5589488,GSM3690289,Illumina HiSeq 3000,3859.N,SINGLE,cDNA,TRANSCRIPTOMIC,Col-0,Arabidopsis thaliana,ILLUMINA,2019-03-29T00:00:00Z,GSM3690289,leaf,SRP189792,Mock,2019-03-28T17:19:00Z,1
SRR8800685,RNA-Seq,150,702226858,PRJNA529701,SAMN11281631,264760419,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5589488,GSM3690289,Illumina HiSeq 3000,3859.N,SINGLE,cDNA,TRANSCRIPTOMIC,Col-0,Arabidopsis thaliana,ILLUMINA,2019-03-29T00:00:00Z,GSM3690289,leaf,SRP189792,Mock,2019-03-28T17:18:00Z,1
SRR8800686,RNA-Seq,150,746789724,PRJNA529701,SAMN11281631,281596392,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5589488,GSM3690289,Illumina HiSeq 3000,3859.N,SINGLE,cDNA,TRANSCRIPTOMIC,Col-0,Arabidopsis thaliana,ILLUMINA,2019-03-29T00:00:00Z,GSM3690289,leaf,SRP189792,Mock,2019-03-28T17:18:00Z,1
