Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment
SRR22565219,RNA-Seq,86,4052135702,PRJNA909785,SAMN32093918,1684606529,RIKEN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18528527,Col-0,NextSeq 500,GSM6803861,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-12-25T00:00:00Z,2022-12-07T14:33:00Z,1,GSM6803861,whole plant,SRP411860,whole plant,Hyaloperonospora arabidopsidis inoculation
SRR22565220,RNA-Seq,87,1045937142,PRJNA909785,SAMN32093919,438415869,RIKEN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18528526,Col-0,NextSeq 500,GSM6803860,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-12-25T00:00:00Z,2022-12-07T14:25:00Z,1,GSM6803860,whole plant,SRP411860,whole plant,Hyaloperonospora arabidopsidis inoculation
SRR22565221,RNA-Seq,88,622914600,PRJNA909785,SAMN32093920,264479664,RIKEN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18528525,Col-0,NextSeq 500,GSM6803859,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-12-25T00:00:00Z,2022-12-07T14:23:00Z,1,GSM6803859,whole plant,SRP411860,whole plant,Hyaloperonospora arabidopsidis inoculation
SRR22565222,RNA-Seq,86,1336061514,PRJNA909785,SAMN32093921,571478290,RIKEN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18528524,Col-0,NextSeq 500,GSM6803858,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-12-25T00:00:00Z,2022-12-07T14:26:00Z,1,GSM6803858,whole plant,SRP411860,whole plant,Hyaloperonospora arabidopsidis inoculation
SRR22565223,RNA-Seq,87,897431883,PRJNA909785,SAMN32093922,378751392,RIKEN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18528523,Col-0,NextSeq 500,GSM6803857,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-12-25T00:00:00Z,2022-12-07T14:25:00Z,1,GSM6803857,whole plant,SRP411860,whole plant,Hyaloperonospora arabidopsidis inoculation
SRR22565224,RNA-Seq,88,1349622120,PRJNA909785,SAMN32093923,573028209,RIKEN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18528522,Col-0,NextSeq 500,GSM6803856,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-12-25T00:00:00Z,2022-12-07T14:26:00Z,1,GSM6803856,whole plant,SRP411860,whole plant,Hyaloperonospora arabidopsidis inoculation
SRR22565225,RNA-Seq,87,1693627782,PRJNA909785,SAMN32093924,719256018,RIKEN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18528521,Col-0,NextSeq 500,GSM6803855,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-12-25T00:00:00Z,2022-12-07T14:26:00Z,1,GSM6803855,whole plant,SRP411860,whole plant,Hyaloperonospora arabidopsidis inoculation
SRR22565226,RNA-Seq,87,720567147,PRJNA909785,SAMN32093925,305057333,RIKEN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18528520,Col-0,NextSeq 500,GSM6803854,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-12-25T00:00:00Z,2022-12-07T14:23:00Z,1,GSM6803854,whole plant,SRP411860,whole plant,Hyaloperonospora arabidopsidis inoculation
SRR22565227,RNA-Seq,88,1116204848,PRJNA909785,SAMN32093926,474960159,RIKEN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18528519,Col-0,NextSeq 500,GSM6803853,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-12-25T00:00:00Z,2022-12-07T14:25:00Z,1,GSM6803853,whole plant,SRP411860,whole plant,Hyaloperonospora arabidopsidis inoculation
SRR22565228,RNA-Seq,86,25873014,PRJNA909785,SAMN32093927,11039601,RIKEN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18528518,Col-0,NextSeq 500,GSM6803852,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-12-25T00:00:00Z,2022-12-07T14:22:00Z,1,GSM6803852,whole plant,SRP411860,whole plant,Hyaloperonospora arabidopsidis inoculation
SRR22565229,RNA-Seq,86,91921530,PRJNA909785,SAMN32093928,38940098,RIKEN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18528517,Col-0,NextSeq 500,GSM6803851,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-12-25T00:00:00Z,2022-12-07T14:22:00Z,1,GSM6803851,whole plant,SRP411860,whole plant,Hyaloperonospora arabidopsidis inoculation
SRR22565230,RNA-Seq,88,33604296,PRJNA909785,SAMN32093929,14636488,RIKEN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18528516,Col-0,NextSeq 500,GSM6803850,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-12-25T00:00:00Z,2022-12-07T14:22:00Z,1,GSM6803850,whole plant,SRP411860,whole plant,Hyaloperonospora arabidopsidis inoculation
