Run,AGE,agent,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,Experiment,GEO_Accession (exp),inoculation,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR10030449,"grown for 10 days in water\, for 1 day in D-tagatose solution\, for 6 days with Hpa inoculation in water.",D-tagatose,RNA-Seq,101,384128149,PRJNA562704,SAMN12647815,251401639,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX6766583,GSM4051653,Hyaloperonospora arabidopsidis hypha in leaves,Illumina HiSeq 2000,SINGLE,CAGE,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-08-13T00:00:00Z,2019-08-28T16:51:00Z,1,GSM4051653,D-tagatose-treated Arabidopsis thaliana Col-0 with Hyaloperonospora arabidopsidis Noco-2 inoculation,SRP219510,Arabidopsis leaves
SRR10030450,"grown for 10 days in water\, for 1 day in D-tagatose solution\, for 6 days with Hpa inoculation in water.",D-tagatose,RNA-Seq,101,354254975,PRJNA562704,SAMN12647815,241621413,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX6766583,GSM4051653,Hyaloperonospora arabidopsidis hypha in leaves,Illumina HiSeq 2000,SINGLE,CAGE,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-08-13T00:00:00Z,2019-08-28T16:52:00Z,1,GSM4051653,D-tagatose-treated Arabidopsis thaliana Col-0 with Hyaloperonospora arabidopsidis Noco-2 inoculation,SRP219510,Arabidopsis leaves
SRR10030451,"grown for 10 days in water\, for 1 day in D-tagatose solution\, for 6 days with Hpa inoculation in water.",D-tagatose,RNA-Seq,101,320007087,PRJNA562704,SAMN12647815,224771999,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX6766583,GSM4051653,Hyaloperonospora arabidopsidis hypha in leaves,Illumina HiSeq 2000,SINGLE,CAGE,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-08-13T00:00:00Z,2019-08-28T16:51:00Z,1,GSM4051653,D-tagatose-treated Arabidopsis thaliana Col-0 with Hyaloperonospora arabidopsidis Noco-2 inoculation,SRP219510,Arabidopsis leaves
SRR10030452,"grown for 10 days in water\, for 1 day in D-tagatose solution\, for 6 days with Hpa inoculation in water.",D-tagatose,RNA-Seq,101,387234202,PRJNA562704,SAMN12647815,247206312,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX6766583,GSM4051653,Hyaloperonospora arabidopsidis hypha in leaves,Illumina HiSeq 2000,SINGLE,CAGE,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-08-13T00:00:00Z,2019-08-28T16:51:00Z,1,GSM4051653,D-tagatose-treated Arabidopsis thaliana Col-0 with Hyaloperonospora arabidopsidis Noco-2 inoculation,SRP219510,Arabidopsis leaves
SRR10030453,"grown for 10 days in water\, for 1 day in D-tagatose solution\, for 6 days with Hpa inoculation in water.",D-tagatose,RNA-Seq,101,385038967,PRJNA562704,SAMN12647815,245196373,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX6766583,GSM4051653,Hyaloperonospora arabidopsidis hypha in leaves,Illumina HiSeq 2000,SINGLE,CAGE,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-08-13T00:00:00Z,2019-08-28T16:51:00Z,1,GSM4051653,D-tagatose-treated Arabidopsis thaliana Col-0 with Hyaloperonospora arabidopsidis Noco-2 inoculation,SRP219510,Arabidopsis leaves
SRR10030454,"grown for 10 days in water\, for 1 day in D-tagatose solution\, for 6 days with Hpa inoculation in water.",D-tagatose,RNA-Seq,101,381236822,PRJNA562704,SAMN12647815,245073469,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX6766583,GSM4051653,Hyaloperonospora arabidopsidis hypha in leaves,Illumina HiSeq 2000,SINGLE,CAGE,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-08-13T00:00:00Z,2019-08-28T16:52:00Z,1,GSM4051653,D-tagatose-treated Arabidopsis thaliana Col-0 with Hyaloperonospora arabidopsidis Noco-2 inoculation,SRP219510,Arabidopsis leaves
SRR10030455,"grown for 10 days in water\, for 1 day in D-tagatose solution\, for 6 days with Hpa inoculation in water.",D-tagatose,RNA-Seq,101,368134900,PRJNA562704,SAMN12647815,241946344,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX6766583,GSM4051653,Hyaloperonospora arabidopsidis hypha in leaves,Illumina HiSeq 2000,SINGLE,CAGE,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-08-13T00:00:00Z,2019-08-28T16:53:00Z,1,GSM4051653,D-tagatose-treated Arabidopsis thaliana Col-0 with Hyaloperonospora arabidopsidis Noco-2 inoculation,SRP219510,Arabidopsis leaves
SRR10030456,"grown for 10 days in water\, for 1 day in D-tagatose solution\, for 6 days with Hpa inoculation in water.",D-tagatose,RNA-Seq,101,343478376,PRJNA562704,SAMN12647815,231951762,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX6766583,GSM4051653,Hyaloperonospora arabidopsidis hypha in leaves,Illumina HiSeq 2000,SINGLE,CAGE,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-08-13T00:00:00Z,2019-08-28T16:52:00Z,1,GSM4051653,D-tagatose-treated Arabidopsis thaliana Col-0 with Hyaloperonospora arabidopsidis Noco-2 inoculation,SRP219510,Arabidopsis leaves
SRR10030457,"grown for 10 days in water\, for 1 day in D-tagatose solution\, for 6 days with Hpa inoculation in water.",D-tagatose,RNA-Seq,101,351883394,PRJNA562704,SAMN12647815,237948858,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX6766583,GSM4051653,Hyaloperonospora arabidopsidis hypha in leaves,Illumina HiSeq 2000,SINGLE,CAGE,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-08-13T00:00:00Z,2019-08-28T16:52:00Z,1,GSM4051653,D-tagatose-treated Arabidopsis thaliana Col-0 with Hyaloperonospora arabidopsidis Noco-2 inoculation,SRP219510,Arabidopsis leaves
SRR10030458,"grown for 10 days in water\, for 1 day in D-tagatose solution\, for 6 days with Hpa inoculation in water.",D-tagatose,RNA-Seq,101,385326615,PRJNA562704,SAMN12647815,250155890,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX6766583,GSM4051653,Hyaloperonospora arabidopsidis hypha in leaves,Illumina HiSeq 2000,SINGLE,CAGE,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-08-13T00:00:00Z,2019-08-28T16:52:00Z,1,GSM4051653,D-tagatose-treated Arabidopsis thaliana Col-0 with Hyaloperonospora arabidopsidis Noco-2 inoculation,SRP219510,Arabidopsis leaves
