Run;Experiment;Timepoint (dpi);infected/control;single/paired;avgSpotLen;infection;infected/control.num
ERR7738945;Cauliflower mosaic virus (CaMV);21;infected;paired;150;infected;1
ERR7738946;Cauliflower mosaic virus (CaMV);21;infected;paired;150;infected;1
ERR7738947;Cauliflower mosaic virus (CaMV);21;infected;paired;150;infected;1
ERR7738939;Cauliflower mosaic virus (CaMV);21;control;paired;150;control;0
ERR7738940;Cauliflower mosaic virus (CaMV);21;control;paired;150;control;0
ERR7738941;Cauliflower mosaic virus (CaMV);21;control;paired;150;control;0
SRR8689382;Erysiphe cichoracearum ;2;infected;paired;252;infected;1
SRR8689383;Erysiphe cichoracearum ;2;infected;paired;252;infected;1
SRR8689384;Erysiphe cichoracearum ;2;infected;paired;252;infected;1
SRR8689389;Erysiphe cichoracearum ;5;infected;paired;252;infected;1
SRR8689390;Erysiphe cichoracearum ;5;infected;paired;252;infected;1
SRR8689394;Erysiphe cichoracearum ;7;infected;paired;252;infected;1
SRR8689395;Erysiphe cichoracearum ;7;infected;paired;252;infected;1
SRR8689396;Erysiphe cichoracearum ;7;infected;paired;252;infected;1
SRR8689400;Erysiphe cichoracearum ;2;control;paired;252;control;0
SRR8689402;Erysiphe cichoracearum ;2;control;paired;252;control;0
SRR8689407;Erysiphe cichoracearum ;5;control;paired;252;control;0
SRR8689408;Erysiphe cichoracearum ;5;control;paired;252;control;0
SRR8689412;Erysiphe cichoracearum ;7;control;paired;252;control;0
SRR8689414;Erysiphe cichoracearum ;7;control;paired;252;control;0
SRR8689388;Erysiphe cichoracearum ;5;infected;paired;252;infected;1
SRR8689401;Erysiphe cichoracearum ;2;control;paired;252;control;0
SRR8689406;Erysiphe cichoracearum ;5;control;paired;252;control;0
SRR8689413;Erysiphe cichoracearum ;7;control;paired;252;control;0
SRR8800677;Golovinomyces orontii;2;control;single;150;control;0
SRR8800678;Golovinomyces orontii;2;control;single;150;control;0
SRR8800679;Golovinomyces orontii;2;control;single;150;control;0
SRR8800680;Golovinomyces orontii;2;control;single;150;control;0
SRR8800681;Golovinomyces orontii;2;control;single;150;control;0
SRR8800682;Golovinomyces orontii;2;control;single;150;control;0
SRR8800683;Golovinomyces orontii;2;control;single;150;control;0
SRR8800684;Golovinomyces orontii;2;control;single;150;control;0
SRR8800685;Golovinomyces orontii;2;control;single;150;control;0
SRR8800686;Golovinomyces orontii;2;control;single;150;control;0
SRR8800687;Golovinomyces orontii;2;control;single;150;control;0
SRR8800688;Golovinomyces orontii;2;control;single;150;control;0
SRR8800689;Golovinomyces orontii;2;control;single;150;control;0
SRR8800690;Golovinomyces orontii;2;control;single;150;control;0
SRR8800691;Golovinomyces orontii;2;control;single;150;control;0
SRR8800755;Golovinomyces orontii;2;infected;single;150;infected;1
SRR8800754;Golovinomyces orontii;2;infected;single;150;infected;1
SRR8800753;Golovinomyces orontii;2;infected;single;150;infected;1
SRR8800752;Golovinomyces orontii;2;infected;single;150;infected;1
SRR8800751;Golovinomyces orontii;2;infected;single;150;infected;1
SRR8800750;Golovinomyces orontii;2;infected;single;150;infected;1
SRR8800749;Golovinomyces orontii;2;infected;single;150;infected;1
SRR8800748;Golovinomyces orontii;2;infected;single;150;infected;1
SRR8800747;Golovinomyces orontii;2;infected;single;150;infected;1
SRR8800746;Golovinomyces orontii;2;infected;single;150;infected;1
SRR8800745;Golovinomyces orontii;2;infected;single;150;infected;1
SRR8800744;Golovinomyces orontii;2;infected;single;150;infected;1
SRR8800743;Golovinomyces orontii;2;infected;single;150;infected;1
SRR8800742;Golovinomyces orontii;2;infected;single;150;infected;1
SRR8800741;Golovinomyces orontii;2;infected;single;150;infected;1
ERR9604272;Heterodera schachtii 2;3;control;single;150;control;0
ERR9604276;Heterodera schachtii 2;1;control;single;150;control;0
ERR9604277;Heterodera schachtii 2;1;control;single;150;control;0
ERR9604278;Heterodera schachtii 2;1;control;single;150;control;0
ERR9604282;Heterodera schachtii 2;3;infected;single;150;Heterodera schachtii;1
ERR9604283;Heterodera schachtii 2;3;control;single;150;control;0
ERR9604284;Heterodera schachtii 2;3;infected;single;150;Heterodera schachtii;1
ERR9604285;Heterodera schachtii 2;3;infected;single;150;Heterodera schachtii;1
ERR9604289;Heterodera schachtii 2;2;infected;single;150;Heterodera schachtii;1
ERR9604290;Heterodera schachtii 2;2;infected;single;150;Heterodera schachtii;1
ERR9604291;Heterodera schachtii 2;2;infected;single;150;Heterodera schachtii;1
ERR9604294;Heterodera schachtii 2;3;control;single;150;control;0
ERR9604296;Heterodera schachtii 2;1;infected;single;150;Heterodera schachtii;1
ERR9604297;Heterodera schachtii 2;1;infected;single;150;Heterodera schachtii;1
ERR9604298;Heterodera schachtii 2;1;infected;single;150;Heterodera schachtii;1
ERR9604338;Heterodera schachtii 2;2;control;single;150;control;0
ERR9604342;Heterodera schachtii 2;2;control;single;150;control;0
ERR9604343;Heterodera schachtii 2;2;control;single;150;control;0
SRR10030449;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030450;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030451;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030452;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030453;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030454;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030455;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030456;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030457;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030458;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030459;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030460;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030461;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030462;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030463;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030464;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030465;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030466;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030467;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030468;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030469;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030470;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030471;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030472;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030473;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030474;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030475;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030476;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030477;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030478;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030479;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030480;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030481;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030482;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;1
SRR10030483;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030484;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030485;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030486;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030487;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030488;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030489;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030490;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030491;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030492;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030493;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
