ID;Run;Experiment;Timepoint (dpi);infected_control;Library;avgSpotLen;infection_type;Category;Category_trophs;Tissue
1;ERR7738945;Cauliflower mosaic virus (CaMV);21;infected;paired;150;infected;viral pathogen;;leaf
2;ERR7738946;Cauliflower mosaic virus (CaMV);21;infected;paired;150;infected;viral pathogen;;leaf
3;ERR7738947;Cauliflower mosaic virus (CaMV);21;infected;paired;150;infected;viral pathogen;;leaf
4;ERR7738939;Cauliflower mosaic virus (CaMV);21;control;paired;150;control;viral pathogen;;leaf
5;ERR7738940;Cauliflower mosaic virus (CaMV);21;control;paired;150;control;viral pathogen;;leaf
6;ERR7738941;Cauliflower mosaic virus (CaMV);21;control;paired;150;control;viral pathogen;;leaf
7;SRR8689382;Erysiphe cichoracearum ;2;infected;paired;252;infected;fungal biotroph;biotroph;leaf
8;SRR8689383;Erysiphe cichoracearum ;2;infected;paired;252;infected;fungal biotroph;biotroph;leaf
9;SRR8689384;Erysiphe cichoracearum ;2;infected;paired;252;infected;fungal biotroph;biotroph;leaf
10;SRR8689389;Erysiphe cichoracearum ;5;infected;paired;252;infected;fungal biotroph;biotroph;leaf
11;SRR8689390;Erysiphe cichoracearum ;5;infected;paired;252;infected;fungal biotroph;biotroph;leaf
12;SRR8689394;Erysiphe cichoracearum ;7;infected;paired;252;infected;fungal biotroph;biotroph;leaf
13;SRR8689395;Erysiphe cichoracearum ;7;infected;paired;252;infected;fungal biotroph;biotroph;leaf
14;SRR8689396;Erysiphe cichoracearum ;7;infected;paired;252;infected;fungal biotroph;biotroph;leaf
15;SRR8689400;Erysiphe cichoracearum ;2;control;paired;252;control;fungal biotroph;biotroph;leaf
16;SRR8689402;Erysiphe cichoracearum ;2;control;paired;252;control;fungal biotroph;biotroph;leaf
17;SRR8689407;Erysiphe cichoracearum ;5;control;paired;252;control;fungal biotroph;biotroph;leaf
18;SRR8689408;Erysiphe cichoracearum ;5;control;paired;252;control;fungal biotroph;biotroph;leaf
19;SRR8689412;Erysiphe cichoracearum ;7;control;paired;252;control;fungal biotroph;biotroph;leaf
20;SRR8689414;Erysiphe cichoracearum ;7;control;paired;252;control;fungal biotroph;biotroph;leaf
21;SRR8689388;Erysiphe cichoracearum ;5;infected;paired;252;infected;fungal biotroph;biotroph;leaf
22;SRR8689401;Erysiphe cichoracearum ;2;control;paired;252;control;fungal biotroph;biotroph;leaf
23;SRR8689406;Erysiphe cichoracearum ;5;control;paired;252;control;fungal biotroph;biotroph;leaf
24;SRR8689413;Erysiphe cichoracearum ;7;control;paired;252;control;fungal biotroph;biotroph;leaf
25;SRR8800677;Golovinomyces orontii;2;control;single;150;control;fungal biotroph;biotroph;leaf
26;SRR8800678;Golovinomyces orontii;2;control;single;150;control;fungal biotroph;biotroph;leaf
27;SRR8800679;Golovinomyces orontii;2;control;single;150;control;fungal biotroph;biotroph;leaf
28;SRR8800680;Golovinomyces orontii;2;control;single;150;control;fungal biotroph;biotroph;leaf
29;SRR8800681;Golovinomyces orontii;2;control;single;150;control;fungal biotroph;biotroph;leaf
30;SRR8800682;Golovinomyces orontii;2;control;single;150;control;fungal biotroph;biotroph;leaf
31;SRR8800683;Golovinomyces orontii;2;control;single;150;control;fungal biotroph;biotroph;leaf
32;SRR8800684;Golovinomyces orontii;2;control;single;150;control;fungal biotroph;biotroph;leaf
33;SRR8800685;Golovinomyces orontii;2;control;single;150;control;fungal biotroph;biotroph;leaf
34;SRR8800686;Golovinomyces orontii;2;control;single;150;control;fungal biotroph;biotroph;leaf
35;SRR8800687;Golovinomyces orontii;2;control;single;150;control;fungal biotroph;biotroph;leaf
36;SRR8800688;Golovinomyces orontii;2;control;single;150;control;fungal biotroph;biotroph;leaf
37;SRR8800689;Golovinomyces orontii;2;control;single;150;control;fungal biotroph;biotroph;leaf
38;SRR8800690;Golovinomyces orontii;2;control;single;150;control;fungal biotroph;biotroph;leaf
39;SRR8800691;Golovinomyces orontii;2;control;single;150;control;fungal biotroph;biotroph;leaf
40;SRR8800755;Golovinomyces orontii;2;infected;single;150;infected;fungal biotroph;biotroph;leaf
41;SRR8800754;Golovinomyces orontii;2;infected;single;150;infected;fungal biotroph;biotroph;leaf
42;SRR8800753;Golovinomyces orontii;2;infected;single;150;infected;fungal biotroph;biotroph;leaf
43;SRR8800752;Golovinomyces orontii;2;infected;single;150;infected;fungal biotroph;biotroph;leaf
44;SRR8800751;Golovinomyces orontii;2;infected;single;150;infected;fungal biotroph;biotroph;leaf
45;SRR8800750;Golovinomyces orontii;2;infected;single;150;infected;fungal biotroph;biotroph;leaf
46;SRR8800749;Golovinomyces orontii;2;infected;single;150;infected;fungal biotroph;biotroph;leaf
47;SRR8800748;Golovinomyces orontii;2;infected;single;150;infected;fungal biotroph;biotroph;leaf
48;SRR8800747;Golovinomyces orontii;2;infected;single;150;infected;fungal biotroph;biotroph;leaf
49;SRR8800746;Golovinomyces orontii;2;infected;single;150;infected;fungal biotroph;biotroph;leaf
50;SRR8800745;Golovinomyces orontii;2;infected;single;150;infected;fungal biotroph;biotroph;leaf
51;SRR8800744;Golovinomyces orontii;2;infected;single;150;infected;fungal biotroph;biotroph;leaf
52;SRR8800743;Golovinomyces orontii;2;infected;single;150;infected;fungal biotroph;biotroph;leaf
53;SRR8800742;Golovinomyces orontii;2;infected;single;150;infected;fungal biotroph;biotroph;leaf
54;SRR8800741;Golovinomyces orontii;2;infected;single;150;infected;fungal biotroph;biotroph;leaf
55;ERR9604272;Heterodera schachtii 2;3;control;single;150;control;nematode;biotroph;root
56;ERR9604276;Heterodera schachtii 2;1;control;single;150;control;nematode;biotroph;root
57;ERR9604277;Heterodera schachtii 2;1;control;single;150;control;nematode;biotroph;root
58;ERR9604278;Heterodera schachtii 2;1;control;single;150;control;nematode;biotroph;root
59;ERR9604282;Heterodera schachtii 2;3;infected;single;150;Heterodera schachtii;nematode;biotroph;root
60;ERR9604283;Heterodera schachtii 2;3;control;single;150;control;nematode;biotroph;root
61;ERR9604284;Heterodera schachtii 2;3;infected;single;150;Heterodera schachtii;nematode;biotroph;root
62;ERR9604285;Heterodera schachtii 2;3;infected;single;150;Heterodera schachtii;nematode;biotroph;root
63;ERR9604289;Heterodera schachtii 2;2;infected;single;150;Heterodera schachtii;nematode;biotroph;root
64;ERR9604290;Heterodera schachtii 2;2;infected;single;150;Heterodera schachtii;nematode;biotroph;root
65;ERR9604291;Heterodera schachtii 2;2;infected;single;150;Heterodera schachtii;nematode;biotroph;root
66;ERR9604294;Heterodera schachtii 2;3;control;single;150;control;nematode;biotroph;root
67;ERR9604296;Heterodera schachtii 2;1;infected;single;150;Heterodera schachtii;nematode;biotroph;root
68;ERR9604297;Heterodera schachtii 2;1;infected;single;150;Heterodera schachtii;nematode;biotroph;root
69;ERR9604298;Heterodera schachtii 2;1;infected;single;150;Heterodera schachtii;nematode;biotroph;root
70;ERR9604338;Heterodera schachtii 2;2;control;single;150;control;nematode;biotroph;root
71;ERR9604342;Heterodera schachtii 2;2;control;single;150;control;nematode;biotroph;root
72;ERR9604343;Heterodera schachtii 2;2;control;single;150;control;nematode;biotroph;root
