;Run;ID;Experiment;Timepoint..dpi.;infected_control.control;infected_control.infected;Library.paired;Library.single;avgSpotLen;infection_type;Category.control;Category.drought;Category.fungal biotroph;Category.necrotoph;Category.nematode;Category.oomycete biotroph;Category.protist biotroph;Category.viral biotroph;Category.viral pathogen;Category_trophs.;Category_trophs.biotroph;Category_trophs.control;Category_trophs.drought;Category_trophs.necrotroph;Tissue.entire seed;Tissue.full aerial;Tissue.leaf;Tissue.root;Tissue.whole plant;Timepoint_dpi.0;Timepoint_dpi.0,25;Timepoint_dpi.0,5;Timepoint_dpi.1;Timepoint_dpi.10;Timepoint_dpi.14;Timepoint_dpi.17;Timepoint_dpi.2;Timepoint_dpi.20;Timepoint_dpi.21;Timepoint_dpi.24;Timepoint_dpi.3;Timepoint_dpi.4;Timepoint_dpi.5;Timepoint_dpi.6;Timepoint_dpi.7;pathogen;pathogen_abbr;inf_path.A. brassicae;inf_path.B. cinerea;inf_path.control;inf_path.Drought;inf_path.E. cichoracearum;inf_path.E. cruciferarum;inf_path.G. orontii;inf_path.H. schachtii;inf_path.Hpa;inf_path.M. javanica;inf_path.P. brassicae;inf_path.TuMV;inf_path.TuYV;p_pseudoaligned;LibrarySize;n_processed;LibrarySize_kallisto;P.brassicae_leaf;P.brassicae_root;TuMV_AS;TuMV_DS
24;ERR7738945;1;Cauliflower mosaic virus (CaMV);21;0;1;1;0;150;infected;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Cauliflower mosaic virus (CaMV);CaMV;0;0;0;0;0;0;0;0;0;0;0;0;0;86.6;27916909;32220560;27916909;0;0;0;0
25;ERR7738946;2;Cauliflower mosaic virus (CaMV);21;0;1;1;0;150;infected;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Cauliflower mosaic virus (CaMV);CaMV;0;0;0;0;0;0;0;0;0;0;0;0;0;86.6;25092950;28982193;25092950;0;0;0;0
26;ERR7738947;3;Cauliflower mosaic virus (CaMV);21;0;1;1;0;150;infected;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Cauliflower mosaic virus (CaMV);CaMV;0;0;0;0;0;0;0;0;0;0;0;0;0;86.5;24840655;28718288;24840655;0;0;0;0
18;ERR7738939;4;Cauliflower mosaic virus (CaMV);21;1;0;1;0;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Cauliflower mosaic virus (CaMV);CaMV;0;0;1;0;0;0;0;0;0;0;0;0;0;95.9;32133095;33500761;32133095;0;0;0;0
19;ERR7738940;5;Cauliflower mosaic virus (CaMV);21;1;0;1;0;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Cauliflower mosaic virus (CaMV);CaMV;0;0;1;0;0;0;0;0;0;0;0;0;0;95.3;28251259;29650291;28251259;0;0;0;0
20;ERR7738941;6;Cauliflower mosaic virus (CaMV);21;1;0;1;0;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Cauliflower mosaic virus (CaMV);CaMV;0;0;1;0;0;0;0;0;0;0;0;0;0;95.4;27159360;28476519;27159360;0;0;0;0
253;SRR8689382;7;Erysiphe cichoracearum ;2;0;1;1;0;252;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Erysiphe cichoracearum ;E. cichoracearum;0;0;0;0;1;0;0;0;0;0;0;0;0;93.4;9912564;10609250;9912564;0;0;0;0
254;SRR8689383;8;Erysiphe cichoracearum ;2;0;1;1;0;252;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Erysiphe cichoracearum ;E. cichoracearum;0;0;0;0;1;0;0;0;0;0;0;0;0;93.5;9188643;9829831;9188643;0;0;0;0
255;SRR8689384;9;Erysiphe cichoracearum ;2;0;1;1;0;252;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Erysiphe cichoracearum ;E. cichoracearum;0;0;0;0;1;0;0;0;0;0;0;0;0;93.8;10962220;11691263;10962220;0;0;0;0
257;SRR8689389;10;Erysiphe cichoracearum ;5;0;1;1;0;252;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Erysiphe cichoracearum ;E. cichoracearum;0;0;0;0;1;0;0;0;0;0;0;0;0;93.1;9176092;9852794;9176092;0;0;0;0
