;Run;Experiment;Time.series;infected.control;single.paired;avgSpotLen;p_pseudoaligned;n_pseudoaligned;n_processed;alignment_status
1;ERR7738942;Turnip yellows virus (TuYV);no;infected;paired;150;94.4;25530514;27031002;Good
2;ERR7738943;Turnip yellows virus (TuYV);no;infected;paired;150;94.6;29159598;30823937;Good
3;ERR7738944;Turnip yellows virus (TuYV);no;infected;paired;150;94.8;28693752;30274742;Good
4;ERR7738945;Cauliflower mosaic virus (CaMV);no;infected;paired;150;86.6;27916909;32220560;Good
5;ERR7738945;Turnip yellows virus (TuYV);no;control;paired;150;86.6;27916909;32220560;Good
6;ERR7738946;Cauliflower mosaic virus (CaMV);no;infected;paired;150;86.6;25092950;28982193;Good
7;ERR7738946;Turnip yellows virus (TuYV);no;control;paired;150;86.6;25092950;28982193;Good
8;ERR7738947;Cauliflower mosaic virus (CaMV);no;infected;paired;150;86.5;24840655;28718288;Good
9;ERR7738947;Turnip yellows virus (TuYV);no;control;paired;150;86.5;24840655;28718288;Good
10;ERR9604272;Heterodera schachtii 2;72h;control;single;150;97.2;46897187;48232942;Good
11;ERR9604276;Heterodera schachtii 2;24h;control;single;150;97;47484643;48929178;Good
12;ERR9604277;Heterodera schachtii 2;24h;control;single;150;97.2;48289124;49705474;Good
13;ERR9604278;Heterodera schachtii 2;24h;control;single;150;97.2;49068502;50474902;Good
14;ERR9604282;Heterodera schachtii 2;72h;infected;single;150;90.6;45585554;50318764;Good
15;ERR9604283;Heterodera schachtii 2;72h;control;single;150;97;48441269;49933448;Good
16;ERR9604284;Heterodera schachtii 2;72h;infected;single;150;91.1;46766081;51336376;Good
17;ERR9604285;Heterodera schachtii 2;72h;infected;single;150;91.5;45308069;49543654;Good
18;ERR9604289;Heterodera schachtii 2;48h;infected;single;150;88.2;45627759;51733914;Good
19;ERR9604290;Heterodera schachtii 2;48h;infected;single;150;86.6;44144530;50954642;Good
20;ERR9604291;Heterodera schachtii 2;48h;infected;single;150;87.6;43772153;49984458;Good
21;ERR9604294;Heterodera schachtii 2;72h;control;single;150;97.3;49060000;50428892;Good
22;ERR9604296;Heterodera schachtii 2;24h;infected;single;150;90.6;45684395;50421322;Good
23;ERR9604297;Heterodera schachtii 2;24h;infected;single;150;89.5;45571629;50928504;Good
24;ERR9604298;Heterodera schachtii 2;24h;infected;single;150;91.6;46128137;50374802;Good
25;ERR9604338;Heterodera schachtii 2;48h;control;single;150;97;48585012;50081308;Good
26;ERR9604342;Heterodera schachtii 2;48h;control;single;150;96.9;49577046;51157022;Good
27;ERR9604343;Heterodera schachtii 2;48h;control;single;150;97.1;49308905;50803094;Good
28;SRR10030449;Hyaloperonospora arabidopsidis 3;no;infected;single;101;88.6;3293095;3715415;Poor
29;SRR10030450;Hyaloperonospora arabidopsidis 3;no;infected;single;101;88.8;3052242;3436724;Poor
30;SRR10030451;Hyaloperonospora arabidopsidis 3;no;infected;single;101;89;2757905;3100041;Poor
31;SRR10030452;Hyaloperonospora arabidopsidis 3;no;infected;single;101;88.6;3332710;3761935;Poor
32;SRR10030453;Hyaloperonospora arabidopsidis 3;no;infected;single;101;88.6;3317725;3745061;Poor
33;SRR10030454;Hyaloperonospora arabidopsidis 3;no;infected;single;101;88.6;3287474;3709123;Poor
34;SRR10030455;Hyaloperonospora arabidopsidis 3;no;infected;single;101;88.7;3176039;3579532;Poor
35;SRR10030456;Hyaloperonospora arabidopsidis 3;no;infected;single;101;88.9;2965259;3337227;Poor
36;SRR10030457;Hyaloperonospora arabidopsidis 3;no;infected;single;101;88.8;3020017;3401909;Poor
37;SRR10030458;Hyaloperonospora arabidopsidis 3;no;infected;single;101;88.6;3307543;3732286;Poor
38;SRR10030459;Hyaloperonospora arabidopsidis 3;no;infected;single;101;88.6;3288887;3710886;Poor
39;SRR10030460;Hyaloperonospora arabidopsidis 3;no;infected;single;101;88.6;3276895;3696954;Poor
40;SRR10030461;Hyaloperonospora arabidopsidis 3;no;infected;single;101;88.6;3250493;3666715;Poor
41;SRR10030462;Hyaloperonospora arabidopsidis 3;no;infected;single;101;88.8;3111173;3503832;Poor
42;SRR10030463;Hyaloperonospora arabidopsidis 3;no;infected;single;101;88.9;2925599;3290253;Poor
