Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,pathogen,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,time_point,tissue
SRR8689382,RNA-Seq,252,2705942988,PRJNA525816,SAMN11077579,892037427,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5485302,Col-0 wild type,GSM3656468,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,Erysiphe cichoracearum,ILLUMINA,2020-03-10T00:00:00Z,2019-03-06T11:21:00Z,1,GSM3656468,plant leaves,SRP187719,2 dpi,leaves
SRR8689383,RNA-Seq,252,2509858764,PRJNA525816,SAMN11077578,838246873,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5485303,Col-0 wild type,GSM3656469,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,Erysiphe cichoracearum,ILLUMINA,2020-03-10T00:00:00Z,2019-03-06T11:21:00Z,1,GSM3656469,plant leaves,SRP187719,2 dpi,leaves
SRR8689384,RNA-Seq,252,2986229232,PRJNA525816,SAMN11077577,1000191200,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5485304,Col-0 wild type,GSM3656470,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,Erysiphe cichoracearum,ILLUMINA,2020-03-10T00:00:00Z,2019-03-06T11:22:00Z,1,GSM3656470,plant leaves,SRP187719,2 dpi,leaves
SRR8689389,RNA-Seq,252,2532674088,PRJNA525816,SAMN11077572,841408829,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5485309,Col-0 wild type,GSM3656475,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,Erysiphe cichoracearum,ILLUMINA,2020-03-10T00:00:00Z,2019-03-06T11:21:00Z,1,GSM3656475,plant leaves,SRP187719,5 dpi,leaves
SRR8689390,RNA-Seq,252,2759104656,PRJNA525816,SAMN11077571,912375870,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5485310,Col-0 wild type,GSM3656476,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,Erysiphe cichoracearum,ILLUMINA,2020-03-10T00:00:00Z,2019-03-06T11:22:00Z,1,GSM3656476,plant leaves,SRP187719,5 dpi,leaves
SRR8689394,RNA-Seq,252,2498759424,PRJNA525816,SAMN11077567,835439079,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5485314,Col-0 wild type,GSM3656480,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,Erysiphe cichoracearum,ILLUMINA,2020-03-10T00:00:00Z,2019-03-06T11:20:00Z,1,GSM3656480,plant leaves,SRP187719,7 dpi,leaves
SRR8689395,RNA-Seq,252,2803036068,PRJNA525816,SAMN11077566,923593824,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5485315,Col-0 wild type,GSM3656481,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,Erysiphe cichoracearum,ILLUMINA,2020-03-10T00:00:00Z,2019-03-06T11:23:00Z,1,GSM3656481,plant leaves,SRP187719,7 dpi,leaves
SRR8689396,RNA-Seq,252,3018916656,PRJNA525816,SAMN11077565,1000180482,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5485316,Col-0 wild type,GSM3656482,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,Erysiphe cichoracearum,ILLUMINA,2020-03-10T00:00:00Z,2019-03-06T11:22:00Z,1,GSM3656482,plant leaves,SRP187719,7 dpi,leaves
SRR8689400,RNA-Seq,252,2876444676,PRJNA525816,SAMN11077561,980638688,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5485320,Col-0 wild type,GSM3656486,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,none,ILLUMINA,2020-03-10T00:00:00Z,2019-03-06T11:22:00Z,1,GSM3656486,plant leaves,SRP187719,2 d,leaves
SRR8689402,RNA-Seq,252,2697659244,PRJNA525816,SAMN11077559,892592066,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5485322,Col-0 wild type,GSM3656488,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,none,ILLUMINA,2020-03-10T00:00:00Z,2019-03-06T11:21:00Z,1,GSM3656488,plant leaves,SRP187719,2 d,leaves
