Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Broker_name,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_Stage,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,Experimental_Factor:_infect (exp),Experimental_Factor:_strain (exp),Experimental_Factor:_time (exp),external_id,genotype,infect,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism_part,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study,Submitter_Id,strain,Ecotype
ERR9604272,168,RNA-Seq,150,7234941300,PRJEB52349,SAMEA14093295,ArrayExpress,4610884208,BGI TECH SOLUTIONS (Hongkong),thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling development stage,2022-09-09,2022-05-31,2022-09-09,2022-05-31,ERX9154540,mock inoculation,Col-0,72,SAMEA14093295,wild type genotype,mock inoculation,Wageningen University and Research,Wageningen University and Research,2022-05-31T00:13:45Z,2022-05-31T00:13:45Z,public,BGISEQ-500,Sample 1_p,PAIRED,Oligo-dT,TRANSCRIPTOMIC,root,Arabidopsis thaliana,BGISEQ,2022-09-09T00:00:00Z,2022-09-13T02:21:00Z,1,SAMEA14093295,E-MTAB-11649:Sample 1,ERP137055,E-MTAB-11649:Sample 1,,Col-0
ERR9604276,120,RNA-Seq,150,7339376700,PRJEB52349,SAMEA14093299,ArrayExpress,4598077258,BGI TECH SOLUTIONS (Hongkong),thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling development stage,2022-09-09,2022-05-31,2022-09-09,2022-05-31,ERX9154544,mock inoculation,Col-0,24,SAMEA14093299,wild type genotype,mock inoculation,Wageningen University and Research,Wageningen University and Research,2022-05-31T00:13:45Z,2022-05-31T00:13:45Z,public,BGISEQ-500,Sample 13_p,PAIRED,Oligo-dT,TRANSCRIPTOMIC,root,Arabidopsis thaliana,BGISEQ,2022-09-09T00:00:00Z,2022-09-13T03:18:00Z,1,SAMEA14093299,E-MTAB-11649:Sample 13,ERP137055,E-MTAB-11649:Sample 13,,Col-0
ERR9604277,120,RNA-Seq,150,7455821100,PRJEB52349,SAMEA14093300,ArrayExpress,4711800328,BGI TECH SOLUTIONS (Hongkong),thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling development stage,2022-09-09,2022-05-31,2022-09-09,2022-05-31,ERX9154545,mock inoculation,Col-0,24,SAMEA14093300,wild type genotype,mock inoculation,Wageningen University and Research,Wageningen University and Research,2022-05-31T00:13:45Z,2022-05-31T00:13:45Z,public,BGISEQ-500,Sample 14_p,PAIRED,Oligo-dT,TRANSCRIPTOMIC,root,Arabidopsis thaliana,BGISEQ,2022-09-09T00:00:00Z,2022-09-13T02:27:00Z,1,SAMEA14093300,E-MTAB-11649:Sample 14,ERP137055,E-MTAB-11649:Sample 14,,Col-0
ERR9604278,120,RNA-Seq,150,7571235300,PRJEB52349,SAMEA14093301,ArrayExpress,4844371056,BGI TECH SOLUTIONS (Hongkong),thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling development stage,2022-09-09,2022-05-31,2022-09-09,2022-05-31,ERX9154546,mock inoculation,Col-0,24,SAMEA14093301,wild type genotype,mock inoculation,Wageningen University and Research,Wageningen University and Research,2022-05-31T00:13:45Z,2022-05-31T00:13:45Z,public,BGISEQ-500,Sample 15_p,PAIRED,Oligo-dT,TRANSCRIPTOMIC,root,Arabidopsis thaliana,BGISEQ,2022-09-09T00:00:00Z,2022-09-15T14:41:00Z,1,SAMEA14093301,E-MTAB-11649:Sample 15,ERP137055,E-MTAB-11649:Sample 15,,Col-0
ERR9604282,168,RNA-Seq,150,7547814600,PRJEB52349,SAMEA14093305,ArrayExpress,4781644600,BGI TECH SOLUTIONS (Hongkong),thale cress,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling development stage,2022-09-09,2022-05-31,2022-09-09,2022-05-31,ERX9154550,Heterodera schachtii,Col-0,72,SAMEA14093305,wild type genotype,Heterodera schachtii,Wageningen University and Research,Wageningen University and Research,2022-05-31T00:13:45Z,2022-05-31T00:13:45Z,public,BGISEQ-500,Sample 19_p,PAIRED,Oligo-dT,TRANSCRIPTOMIC,root,Arabidopsis thaliana,BGISEQ,2022-09-09T00:00:00Z,2022-09-15T13:13:00Z,1,SAMEA14093305,E-MTAB-11649:Sample 19,ERP137055,E-MTAB-11649:Sample 19,,Col-0
ERR9604283,168,RNA-Seq,150,7490017200,PRJEB52349,SAMEA14093306,ArrayExpress,4753104618,BGI TECH SOLUTIONS (Hongkong),thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling development stage,2022-09-09,2022-05-31,2022-09-09,2022-05-31,ERX9154551,mock inoculation,Col-0,72,SAMEA14093306,wild type genotype,mock inoculation,Wageningen University and Research,Wageningen University and Research,2022-05-31T00:13:45Z,2022-05-31T00:13:45Z,public,BGISEQ-500,Sample 2_p,PAIRED,Oligo-dT,TRANSCRIPTOMIC,root,Arabidopsis thaliana,BGISEQ,2022-09-09T00:00:00Z,2022-09-13T03:03:00Z,1,SAMEA14093306,E-MTAB-11649:Sample 2,ERP137055,E-MTAB-11649:Sample 2,,Col-0
ERR9604284,168,RNA-Seq,150,7700456400,PRJEB52349,SAMEA14093307,ArrayExpress,4887486321,BGI TECH SOLUTIONS (Hongkong),thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling development stage,2022-09-09,2022-05-31,2022-09-09,2022-05-31,ERX9154552,Heterodera schachtii,Col-0,72,SAMEA14093307,wild type genotype,Heterodera schachtii,Wageningen University and Research,Wageningen University and Research,2022-05-31T00:13:45Z,2022-05-31T00:13:45Z,public,BGISEQ-500,Sample 20_p,PAIRED,Oligo-dT,TRANSCRIPTOMIC,root,Arabidopsis thaliana,BGISEQ,2022-09-09T00:00:00Z,2022-09-13T02:41:00Z,1,SAMEA14093307,E-MTAB-11649:Sample 20,ERP137055,E-MTAB-11649:Sample 20,,Col-0
ERR9604285,168,RNA-Seq,150,7431548100,PRJEB52349,SAMEA14093308,ArrayExpress,4748707533,BGI TECH SOLUTIONS (Hongkong),thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling development stage,2022-09-09,2022-05-31,2022-09-09,2022-05-31,ERX9154553,Heterodera schachtii,Col-0,72,SAMEA14093308,wild type genotype,Heterodera schachtii,Wageningen University and Research,Wageningen University and Research,2022-05-31T00:13:45Z,2022-05-31T00:13:45Z,public,BGISEQ-500,Sample 21_p,PAIRED,Oligo-dT,TRANSCRIPTOMIC,root,Arabidopsis thaliana,BGISEQ,2022-09-09T00:00:00Z,2022-09-15T14:07:00Z,1,SAMEA14093308,E-MTAB-11649:Sample 21,ERP137055,E-MTAB-11649:Sample 21,,Col-0
ERR9604289,144,RNA-Seq,150,7760087100,PRJEB52349,SAMEA14093312,ArrayExpress,4923721649,BGI TECH SOLUTIONS (Hongkong),thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling development stage,2022-09-09,2022-05-31,2022-09-09,2022-05-31,ERX9154557,Heterodera schachtii,Col-0,48,SAMEA14093312,wild type genotype,Heterodera schachtii,Wageningen University and Research,Wageningen University and Research,2022-05-31T00:13:45Z,2022-05-31T00:13:45Z,public,BGISEQ-500,Sample 25_p,PAIRED,Oligo-dT,TRANSCRIPTOMIC,root,Arabidopsis thaliana,BGISEQ,2022-09-09T00:00:00Z,2022-09-14T01:43:00Z,1,SAMEA14093312,E-MTAB-11649:Sample 25,ERP137055,E-MTAB-11649:Sample 25,,Col-0
ERR9604290,144,RNA-Seq,150,7643196300,PRJEB52349,SAMEA14093313,ArrayExpress,4896635344,BGI TECH SOLUTIONS (Hongkong),thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling development stage,2022-09-09,2022-05-31,2022-09-09,2022-05-31,ERX9154558,Heterodera schachtii,Col-0,48,SAMEA14093313,wild type genotype,Heterodera schachtii,Wageningen University and Research,Wageningen University and Research,2022-05-31T00:13:45Z,2022-05-31T00:13:45Z,public,BGISEQ-500,Sample 26_p,PAIRED,Oligo-dT,TRANSCRIPTOMIC,root,Arabidopsis thaliana,BGISEQ,2022-09-09T00:00:00Z,2022-09-15T13:08:00Z,1,SAMEA14093313,E-MTAB-11649:Sample 26,ERP137055,E-MTAB-11649:Sample 26,,Col-0
