Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR3124722,not applicable,RNA-Seq,202,1802800106,PRJNA309985,SAMN04444167,Plant,739161399,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Leaf-1,coloumbia,SRX1547568,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iL1_17_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:29:00Z,1,2iL1_17_dpi_R1.fastq.gz,SRP068919,Leaf-1
SRR3124724,not applicable,RNA-Seq,202,2473788556,PRJNA309985,SAMN04444177,Plant,1038996718,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Leaf-11,coloumbia,SRX1547570,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iL2_24_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:36:00Z,1,2iL2_24_dpi_R1.fastq.gz,SRP068919,Leaf-11
SRR3124726,not applicable,RNA-Seq,202,2330912542,PRJNA309985,SAMN04444179,Plant,984070550,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Leaf-13,coloumbia,SRX1547572,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iL3_17_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T01:06:00Z,1,2iL3_17_dpi_R1.fastq.gz,SRP068919,Leaf-13
SRR3124729,not applicable,RNA-Seq,202,3409074008,PRJNA309985,SAMN04444181,Plant,1389635502,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Leaf-15,coloumbia,SRX1547574,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iL3_20_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:38:00Z,1,2iL3_20_dpi_R1.fastq.gz,SRP068919,Leaf-15
SRR3124731,not applicable,RNA-Seq,202,3533263204,PRJNA309985,SAMN04444183,Plant,1444100365,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Leaf-17,coloumbia,SRX1547576,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iL3_24_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:39:00Z,1,2iL3_24_dpi_R1.fastq.gz,SRP068919,Leaf-17
SRR3124735,not applicable,RNA-Seq,202,5731906752,PRJNA309985,SAMN04444185,Plant,2441591506,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-1,coloumbia,SRX1547579,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iR1_17_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:43:00Z,1,2iR1_17_dpi_R1.fastq.gz,SRP068919,root-1
SRR3124737,not applicable,RNA-Seq,202,2701033506,PRJNA309985,SAMN04444187,Plant,1136838184,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root3,coloumbia,SRX1547582,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iR1_20_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:32:00Z,1,2iR1_20_dpi_R1.fastq.gz,SRP068919,root3
SRR3124740,not applicable,RNA-Seq,202,2742045768,PRJNA309985,SAMN04444189,Plant,1153482825,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-5,coloumbia,SRX1547584,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iR1_24_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:31:00Z,1,2iR1_24_dpi_R1.fastq.gz,SRP068919,root-5
SRR3124742,not applicable,RNA-Seq,202,2272066104,PRJNA309985,SAMN04444191,Plant,929930701,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-7,coloumbia,SRX1547586,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iR2_17_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:30:00Z,1,2iR2_17_dpi_R1.fastq.gz,SRP068919,root-7
SRR3124743,not applicable,RNA-Seq,202,2829670338,PRJNA309985,SAMN04444193,Plant,1187387146,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-9,coloumbia,SRX1547588,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iR2_20_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:31:00Z,1,2iR2_20_dpi_R1.fastq.gz,SRP068919,root-9
SRR3124745,not applicable,RNA-Seq,202,2880782196,PRJNA309985,SAMN04444195,Plant,1176340297,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-11,coloumbia,SRX1547590,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iR2_24_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:31:00Z,1,2iR2_24_dpi_R1.fastq.gz,SRP068919,root-11
SRR3124747,not applicable,RNA-Seq,202,2016631246,PRJNA309985,SAMN04444169,Plant,822510684,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Leaf-3,coloumbia,SRX1547581,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iL1_20_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:30:00Z,1,2iL1_20_dpi_R1.fastq.gz,SRP068919,Leaf-3
SRR3124748,not applicable,RNA-Seq,202,1959007110,PRJNA309985,SAMN04444197,Plant,832192879,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-13,coloumbia,SRX1547593,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iR3_17_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:33:00Z,1,2iR3_17_dpi_R1.fastq.gz,SRP068919,root-13
