Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,disease,dummy,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue,treatment
SRR30310344,18 days after-sowing,RNA-Seq,300,6609244200,PRJNA1150077,SAMN43269300,Plant,2109852980,I2SYSBIO-CSIC,Izan Melero,2022-04-01,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",prebolting,mild mosaic,10,Col-0,SRX25770807,Spain,Europe,Spain: Paterna (Valencia),Illumina NovaSeq 6000,not applicable,a10,PAIRED,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2024-08-20T00:00:00Z,2024-08-20T08:52:00Z,1,a10,SRP527476,full aerial,inoculated with TuMV-AS
SRR30310345,32 days after-sowing,RNA-Seq,300,8472209100,PRJNA1150077,SAMN43269299,Plant,2748689161,I2SYSBIO-CSIC,Izan Melero,2022-04-03,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",postbolting,no,9,Col-0,SRX25770806,Spain,Europe,Spain: Paterna (Valencia),Illumina NovaSeq 6000,not applicable,a9,PAIRED,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2024-08-20T00:00:00Z,2024-08-20T08:57:00Z,1,a9,SRP527476,full aerial,mock inoculated
SRR30310346,32 days after-sowing,RNA-Seq,300,6360072900,PRJNA1150077,SAMN43269298,Plant,2063596375,I2SYSBIO-CSIC,Izan Melero,2022-04-03,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",postbolting,no,8,Col-0,SRX25770805,Spain,Europe,Spain: Paterna (Valencia),Illumina NovaSeq 6000,not applicable,a8,PAIRED,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2024-08-20T00:00:00Z,2024-08-20T08:54:00Z,1,a8,SRP527476,full aerial,mock inoculated
SRR30310347,32 days after-sowing,RNA-Seq,300,7160153700,PRJNA1150077,SAMN43269297,Plant,2307125308,I2SYSBIO-CSIC,Izan Melero,2022-04-03,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",postbolting,no,7,Col-0,SRX25770804,Spain,Europe,Spain: Paterna (Valencia),Illumina NovaSeq 6000,not applicable,a7,PAIRED,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2024-08-20T00:00:00Z,2024-08-20T08:55:00Z,1,a7,SRP527476,full aerial,mock inoculated
SRR30310348,25 days after-sowing,RNA-Seq,300,6222269400,PRJNA1150077,SAMN43269296,Plant,1994928630,I2SYSBIO-CSIC,Izan Melero,2022-04-02,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",bolting,no,6,Col-0,SRX25770803,Spain,Europe,Spain: Paterna (Valencia),Illumina NovaSeq 6000,not applicable,a6,PAIRED,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2024-08-20T00:00:00Z,2024-08-20T08:55:00Z,1,a6,SRP527476,full aerial,mock inoculated
SRR30310349,25 days after-sowing,RNA-Seq,300,6749012700,PRJNA1150077,SAMN43269295,Plant,2097841070,I2SYSBIO-CSIC,Izan Melero,2022-04-02,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",bolting,no,5,Col-0,SRX25770802,Spain,Europe,Spain: Paterna (Valencia),Illumina NovaSeq 6000,not applicable,a5,PAIRED,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2024-08-20T00:00:00Z,2024-08-20T08:54:00Z,1,a5,SRP527476,full aerial,mock inoculated
SRR30310350,25 days after-sowing,RNA-Seq,300,6910516500,PRJNA1150077,SAMN43269294,Plant,2145135855,I2SYSBIO-CSIC,Izan Melero,2022-04-02,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",bolting,no,4,Col-0,SRX25770801,Spain,Europe,Spain: Paterna (Valencia),Illumina NovaSeq 6000,not applicable,a4,PAIRED,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2024-08-20T00:00:00Z,2024-08-20T08:56:00Z,1,a4,SRP527476,full aerial,mock inoculated
SRR30310351,32 days after-sowing,RNA-Seq,300,6516897300,PRJNA1150077,SAMN43269317,Plant,2122789596,I2SYSBIO-CSIC,Izan Melero,2022-04-03,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",postbolting,severe mosaic,27,Col-0,SRX25770800,Spain,Europe,Spain: Paterna (Valencia),Illumina NovaSeq 6000,not applicable,a27,PAIRED,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2024-08-20T00:00:00Z,2024-08-20T08:53:00Z,1,a27,SRP527476,full aerial,inoculated with TuMV-DV
SRR30310352,32 days after-sowing,RNA-Seq,300,7064128500,PRJNA1150077,SAMN43269316,Plant,2228896659,I2SYSBIO-CSIC,Izan Melero,2022-04-03,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",postbolting,severe mosaic,26,Col-0,SRX25770799,Spain,Europe,Spain: Paterna (Valencia),Illumina NovaSeq 6000,not applicable,a26,PAIRED,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2024-08-20T00:00:00Z,2024-08-20T08:54:00Z,1,a26,SRP527476,full aerial,inoculated with TuMV-DV
SRR30310353,32 days after-sowing,RNA-Seq,300,9041612700,PRJNA1150077,SAMN43269315,Plant,2885810020,I2SYSBIO-CSIC,Izan Melero,2022-04-03,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",postbolting,severe mosaic,25,Col-0,SRX25770798,Spain,Europe,Spain: Paterna (Valencia),Illumina NovaSeq 6000,not applicable,a25,PAIRED,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2024-08-20T00:00:00Z,2024-08-20T08:58:00Z,1,a25,SRP527476,full aerial,inoculated with TuMV-DV
