Run,AGE,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,sample_type,SRA Study,temp,tissue,treatment
SRR24657655,3 weeks,RNA-Seq,300,7442591400,"Prof. Santiago F. Elena\, Evolutionary Systems Virology Group\, I2SysBio (CSIC-UV)\, Parc Cientific UV\, Catedratico Agustin Escardino 9\, Paterna\, Valencia\, Spain",PRJNA974369,SAMN35178200,Plant,2430009687,"I2SYSBIO, CSIC-UV","Dr. Silvia Ambros\, Francisca de la Iglesia\, Paula Agudo",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX20437364,Wild type,Spain,Europe,Spain,Illumina NovaSeq 6000,WT.P12.L5,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-11-09T00:00:00Z,biological replicate 5,2023-05-19T09:31:00Z,1,P1219,infected leaves,SRP438599,"Day:24C\, night:20C",leaves,Evolved TuMV infected passage 12
SRR24657656,3 weeks,RNA-Seq,300,7644116100,"Prof. Santiago F. Elena\, Evolutionary Systems Virology Group\, I2SysBio (CSIC-UV)\, Parc Cientific UV\, Catedratico Agustin Escardino 9\, Paterna\, Valencia\, Spain",PRJNA974369,SAMN35178199,Plant,2517433218,"I2SYSBIO, CSIC-UV","Dr. Silvia Ambros\, Francisca de la Iglesia\, Paula Agudo",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX20437363,Wild type,Spain,Europe,Spain,Illumina NovaSeq 6000,WT.P12.L4,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-11-09T00:00:00Z,biological replicate 4,2023-05-19T09:21:00Z,1,P1218,infected leaves,SRP438599,"Day:24C\, night:20C",leaves,Evolved TuMV infected passage 12
SRR24657657,3 weeks,RNA-Seq,300,6533724900,"Prof. Santiago F. Elena\, Evolutionary Systems Virology Group\, I2SysBio (CSIC-UV)\, Parc Cientific UV\, Catedratico Agustin Escardino 9\, Paterna\, Valencia\, Spain",PRJNA974369,SAMN35178198,Plant,2097688023,"I2SYSBIO, CSIC-UV","Dr. Silvia Ambros\, Francisca de la Iglesia\, Paula Agudo",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX20437362,Wild type,Spain,Europe,Spain,Illumina NovaSeq 6000,WT.P12.L3,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-11-09T00:00:00Z,biological replicate 3,2023-05-19T09:20:00Z,1,P1217,infected leaves,SRP438599,"Day:24C\, night:20C",leaves,Evolved TuMV infected passage 12
SRR24657658,3 weeks,RNA-Seq,300,6737775300,"Prof. Santiago F. Elena\, Evolutionary Systems Virology Group\, I2SysBio (CSIC-UV)\, Parc Cientific UV\, Catedratico Agustin Escardino 9\, Paterna\, Valencia\, Spain",PRJNA974369,SAMN35178197,Plant,2220530103,"I2SYSBIO, CSIC-UV","Dr. Silvia Ambros\, Francisca de la Iglesia\, Paula Agudo",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX20437361,Wild type,Spain,Europe,Spain,Illumina NovaSeq 6000,WT.P12.L2,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-11-09T00:00:00Z,biological replicate 2,2023-05-19T09:20:00Z,1,P1216,infected leaves,SRP438599,"Day:24C\, night:20C",leaves,Evolved TuMV infected passage 12
SRR24657659,3 weeks,RNA-Seq,300,6527469900,"Prof. Santiago F. Elena\, Evolutionary Systems Virology Group\, I2SysBio (CSIC-UV)\, Parc Cientific UV\, Catedratico Agustin Escardino 9\, Paterna\, Valencia\, Spain",PRJNA974369,SAMN35178196,Plant,2162273982,"I2SYSBIO, CSIC-UV","Dr. Silvia Ambros\, Francisca de la Iglesia\, Paula Agudo",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX20437360,Wild type,Spain,Europe,Spain,Illumina NovaSeq 6000,WT.P12.L1,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-11-09T00:00:00Z,biological replicate 1,2023-05-19T09:20:00Z,1,P1215,infected leaves,SRP438599,"Day:24C\, night:20C",leaves,Evolved TuMV infected passage 12
SRR24657669,3 weeks,RNA-Seq,300,6167974800,"Prof. Santiago F. Elena\, Evolutionary Systems Virology Group\, I2SysBio (CSIC-UV)\, Parc Cientific UV\, Catedratico Agustin Escardino 9\, Paterna\, Valencia\, Spain",PRJNA974369,SAMN35178195,Plant,1986354032,"I2SYSBIO, CSIC-UV","Dr. Silvia Ambros\, Francisca de la Iglesia\, Paula Agudo",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX20437350,Wild type,Spain,Europe,Spain,Illumina NovaSeq 6000,WT.P1.L5,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-11-09T00:00:00Z,biological replicate 5,2023-05-19T09:29:00Z,1,P1CL5,infected leaves,SRP438599,"Day:24C\, night:20C",leaves,"Naïve TuMV infected\, passage 1"
SRR24657680,3 weeks,RNA-Seq,300,7054861200,"Prof. Santiago F. Elena\, Evolutionary Systems Virology Group\, I2SysBio (CSIC-UV)\, Parc Cientific UV\, Catedratico Agustin Escardino 9\, Paterna\, Valencia\, Spain",PRJNA974369,SAMN35178194,Plant,2228465088,"I2SYSBIO, CSIC-UV","Dr. Silvia Ambros\, Francisca de la Iglesia\, Paula Agudo",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX20437339,Wild type,Spain,Europe,Spain,Illumina NovaSeq 6000,WT.P1.L4,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-11-09T00:00:00Z,biological replicate 4,2023-05-19T09:27:00Z,1,P1CL4,infected leaves,SRP438599,"Day:24C\, night:20C",leaves,"Naïve TuMV infected\, passage 1"
SRR24657691,3 weeks,RNA-Seq,300,7003355100,"Prof. Santiago F. Elena\, Evolutionary Systems Virology Group\, I2SysBio (CSIC-UV)\, Parc Cientific UV\, Catedratico Agustin Escardino 9\, Paterna\, Valencia\, Spain",PRJNA974369,SAMN35178193,Plant,2213549619,"I2SYSBIO, CSIC-UV","Dr. Silvia Ambros\, Francisca de la Iglesia\, Paula Agudo",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX20437328,Wild type,Spain,Europe,Spain,Illumina NovaSeq 6000,WT.P1.L3,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-11-09T00:00:00Z,biological replicate 3,2023-05-19T09:30:00Z,1,P1CL3,infected leaves,SRP438599,"Day:24C\, night:20C",leaves,"Naïve TuMV infected\, passage 1"
SRR24657702,3 weeks,RNA-Seq,300,6573295500,"Prof. Santiago F. Elena\, Evolutionary Systems Virology Group\, I2SysBio (CSIC-UV)\, Parc Cientific UV\, Catedratico Agustin Escardino 9\, Paterna\, Valencia\, Spain",PRJNA974369,SAMN35178192,Plant,2088093827,"I2SYSBIO, CSIC-UV","Dr. Silvia Ambros\, Francisca de la Iglesia\, Paula Agudo",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX20437317,Wild type,Spain,Europe,Spain,Illumina NovaSeq 6000,WT.P1.L2,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-11-09T00:00:00Z,biological replicate 2,2023-05-19T10:49:00Z,1,P1CL2,infected leaves,SRP438599,"Day:24C\, night:20C",leaves,"Naïve TuMV infected\, passage 1"
SRR24657703,3 weeks,RNA-Seq,300,6146006400,"Prof. Santiago F. Elena\, Evolutionary Systems Virology Group\, I2SysBio (CSIC-UV)\, Parc Cientific UV\, Catedratico Agustin Escardino 9\, Paterna\, Valencia\, Spain",PRJNA974369,SAMN35178191,Plant,1957795286,"I2SYSBIO, CSIC-UV","Dr. Silvia Ambros\, Francisca de la Iglesia\, Paula Agudo",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX20437316,Wild type,Spain,Europe,Spain,Illumina NovaSeq 6000,WT.P1.L1,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-11-09T00:00:00Z,biological replicate 1,2023-05-19T09:44:00Z,1,P1CL1,infected leaves,SRP438599,"Day:24C\, night:20C",leaves,"Naïve TuMV infected\, passage 1"
