Run,agent,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,time_point,tissue
SRR18568313,none,RNA-Seq,100,5154198600,PRJNA822388,SAMN27182033,3178528188,"SEED, INRAE / IRHS",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX14697466,DNBSEQ-G400,GSM6000823,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,DNBSEQ,2022-04-12T00:00:00Z,2022-04-01T17:51:00Z,1,GSM6000823,entire seed,SRP366979,Collected at 10 days after sowing,entire seed
SRR18568314,none,RNA-Seq,100,5157660000,PRJNA822388,SAMN27182034,3203512246,"SEED, INRAE / IRHS",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX14697465,DNBSEQ-G400,GSM6000822,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,DNBSEQ,2022-04-12T00:00:00Z,2022-04-01T17:56:00Z,1,GSM6000822,entire seed,SRP366979,Collected at 10 days after sowing,entire seed
SRR18568315,none,RNA-Seq,100,5169346400,PRJNA822388,SAMN27182035,3227830416,"SEED, INRAE / IRHS",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX14697464,DNBSEQ-G400,GSM6000821,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,DNBSEQ,2022-04-12T00:00:00Z,2022-04-01T17:57:00Z,1,GSM6000821,entire seed,SRP366979,Collected at 10 days after sowing,entire seed
SRR18568316,none,RNA-Seq,100,5117538000,PRJNA822388,SAMN27182036,3185277421,"SEED, INRAE / IRHS",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX14697463,DNBSEQ-G400,GSM6000820,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,DNBSEQ,2022-04-12T00:00:00Z,2022-04-01T17:58:00Z,1,GSM6000820,entire seed,SRP366979,Collected at 6 days after sowing,entire seed
SRR18568317,none,RNA-Seq,100,5118891200,PRJNA822388,SAMN27182037,3180363984,"SEED, INRAE / IRHS",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX14697462,DNBSEQ-G400,GSM6000819,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,DNBSEQ,2022-04-12T00:00:00Z,2022-04-01T17:57:00Z,1,GSM6000819,entire seed,SRP366979,Collected at 6 days after sowing,entire seed
SRR18568318,none,RNA-Seq,100,5133494800,PRJNA822388,SAMN27182038,3235335686,"SEED, INRAE / IRHS",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX14697461,DNBSEQ-G400,GSM6000818,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,DNBSEQ,2022-04-12T00:00:00Z,2022-04-01T17:58:00Z,1,GSM6000818,entire seed,SRP366979,Collected at 6 days after sowing,entire seed
SRR18568319,none,RNA-Seq,100,5191501200,PRJNA822388,SAMN27182039,3232763846,"SEED, INRAE / IRHS",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX14697460,DNBSEQ-G400,GSM6000817,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,DNBSEQ,2022-04-12T00:00:00Z,2022-04-01T17:57:00Z,1,GSM6000817,entire seed,SRP366979,Collected at 3 days after sowing,entire seed
SRR18568320,none,RNA-Seq,100,5166030600,PRJNA822388,SAMN27182040,3181553388,"SEED, INRAE / IRHS",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX14697459,DNBSEQ-G400,GSM6000816,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,DNBSEQ,2022-04-12T00:00:00Z,2022-04-01T17:55:00Z,1,GSM6000816,entire seed,SRP366979,Collected at 3 days after sowing,entire seed
SRR18568321,none,RNA-Seq,100,5177947800,PRJNA822388,SAMN27182041,3226351439,"SEED, INRAE / IRHS",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX14697458,DNBSEQ-G400,GSM6000815,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,DNBSEQ,2022-04-12T00:00:00Z,2022-04-01T17:58:00Z,1,GSM6000815,entire seed,SRP366979,Collected at 3 days after sowing,entire seed
SRR18568322,inoculated with Abra43,RNA-Seq,100,10215338600,PRJNA822388,SAMN27182042,6020590923,"SEED, INRAE / IRHS",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Col-0,SRX14697457,DNBSEQ-G400,GSM6000814,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,DNBSEQ,2022-04-12T00:00:00Z,2022-04-01T18:13:00Z,1,GSM6000814,entire seed,SRP366979,Collected at 10 days after sowing,entire seed
