Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study,strain,AGE,dev_stage,Ecotype,tissue,treatment
SRR30606508,RNA-Seq,300,13571105400,PRJNA1158549,SAMN43542877,Pathogen.env,4452497971,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029133,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 12 h after infection,not collected,not collected,BcAt12h1,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 1,2024-09-09T16:20:00Z,1,BcAt12h_rep1,SRP531630,B05.10,,,,,
SRR30606509,RNA-Seq,300,13088077500,PRJNA1158549,SAMN43542876,Pathogen.env,4293511902,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029132,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 6 h after infection,not collected,not collected,BcAt6h3,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 3,2024-09-09T16:17:00Z,1,BcAt6h_rep3,SRP531630,B05.10,,,,,
SRR30606510,RNA-Seq,300,13522266300,PRJNA1158549,SAMN43542875,Pathogen.env,4415750407,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029131,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 6 h after infection,not collected,not collected,BcAt6h2,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 2,2024-09-09T16:22:00Z,1,BcAt6h_rep2,SRP531630,B05.10,,,,,
SRR30606511,RNA-Seq,300,12901289100,PRJNA1158549,SAMN43542874,Pathogen.env,4220085645,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029130,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 6 h after infection,not collected,not collected,BcAt6h1,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 1,2024-09-09T16:18:00Z,1,BcAt6h_rep1,SRP531630,B05.10,,,,,
SRR30606517,RNA-Seq,300,12914917500,PRJNA1158549,SAMN43542891,Pathogen.env,4240198171,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029124,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 96 h after infection,not collected,not collected,BcAt96h3,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 3,2024-09-09T16:23:00Z,1,BcAt96h_rep3,SRP531630,B05.10,,,,,
SRR30606518,RNA-Seq,300,13347035400,PRJNA1158549,SAMN43542890,Pathogen.env,4333997465,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029123,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 96 h after infection,not collected,not collected,BcAt96h2,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 2,2024-09-09T16:20:00Z,1,BcAt96h_rep2,SRP531630,B05.10,,,,,
SRR30606519,RNA-Seq,300,12702104100,PRJNA1158549,SAMN43542889,Pathogen.env,4150305138,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029122,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 96 h after infection,not collected,not collected,BcAt96h1,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 1,2024-09-09T16:20:00Z,1,BcAt96h_rep1,SRP531630,B05.10,,,,,
SRR30606520,RNA-Seq,300,13115495100,PRJNA1158549,SAMN43542888,Pathogen.env,4241594643,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029121,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 72 h after infection,not collected,not collected,BcAt72h3,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 3,2024-09-09T16:20:00Z,1,BcAt72h_rep3,SRP531630,B05.10,,,,,
SRR30606521,RNA-Seq,300,6020082600,PRJNA1158549,SAMN43542870,Plant,1970356688,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029120,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana,not collected,not collected,At0h3,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 3,2024-09-09T16:16:00Z,1,At_rep3,SRP531630,,missing,missing,Col-0,missing,infected with Botrytis cinerea
SRR30606522,RNA-Seq,300,12652324200,PRJNA1158549,SAMN43542887,Pathogen.env,4127667332,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029119,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 72 h after infection,not collected,not collected,BcAt72h2,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 2,2024-09-09T16:17:00Z,1,BcAt72h_rep2,SRP531630,B05.10,,,,,
SRR30606523,RNA-Seq,300,12707711100,PRJNA1158549,SAMN43542886,Pathogen.env,4140065273,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029118,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 72 h after infection,not collected,not collected,BcAt72h1,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 1,2024-09-09T16:24:00Z,1,BcAt72h_rep1,SRP531630,B05.10,,,,,
SRR30606524,RNA-Seq,300,13513036200,PRJNA1158549,SAMN43542885,Pathogen.env,4391274543,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029117,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 48 h after infection,not collected,not collected,BcAt48h3,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 3,2024-09-09T16:18:00Z,1,BcAt48h_rep3,SRP531630,B05.10,,,,,
SRR30606525,RNA-Seq,300,13239336300,PRJNA1158549,SAMN43542884,Pathogen.env,4320608280,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029116,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 48 h after infection,not collected,not collected,BcAt48h2,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 2,2024-09-09T16:18:00Z,1,BcAt48h_rep2,SRP531630,B05.10,,,,,
SRR30606526,RNA-Seq,300,13190861400,PRJNA1158549,SAMN43542883,Pathogen.env,4288910728,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029115,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 48 h after infection,not collected,not collected,BcAt48h1,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 1,2024-09-09T16:23:00Z,1,BcAt48h_rep1,SRP531630,B05.10,,,,,
SRR30606527,RNA-Seq,300,12702580500,PRJNA1158549,SAMN43542882,Pathogen.env,4149986897,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029114,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 24 h after infection,not collected,not collected,BcAt24h3,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 3,2024-09-09T16:17:00Z,1,BcAt24h_rep3,SRP531630,B05.10,,,,,
SRR30606528,RNA-Seq,300,12713079300,PRJNA1158549,SAMN43542881,Pathogen.env,4125208566,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029113,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 24 h after infection,not collected,not collected,BcAt24h2,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 2,2024-09-09T16:25:00Z,1,BcAt24h_rep2,SRP531630,B05.10,,,,,
SRR30606529,RNA-Seq,300,13781858100,PRJNA1158549,SAMN43542880,Pathogen.env,4524424954,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029112,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 24 h after infection,not collected,not collected,BcAt24h1,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 1,2024-09-09T16:17:00Z,1,BcAt24h_rep1,SRP531630,B05.10,,,,,
SRR30606530,RNA-Seq,300,12486257100,PRJNA1158549,SAMN43542879,Pathogen.env,4105748418,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029111,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 12 h after infection,not collected,not collected,BcAt12h3,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 3,2024-09-09T16:17:00Z,1,BcAt12h_rep3,SRP531630,B05.10,,,,,
SRR30606531,RNA-Seq,300,12741850500,PRJNA1158549,SAMN43542878,Pathogen.env,4169610586,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029110,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana 12 h after infection,not collected,not collected,BcAt12h2,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Botrytis cinerea B05.10,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 2,2024-09-09T16:23:00Z,1,BcAt12h_rep2,SRP531630,B05.10,,,,,
SRR30606532,RNA-Seq,300,6488217600,PRJNA1158549,SAMN43542869,Plant,2125555555,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029109,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana,not collected,not collected,At0h2,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 2,2024-09-09T16:18:00Z,1,At_rep2,SRP531630,,missing,missing,Col-0,missing,infected with Botrytis cinerea
SRR30606533,RNA-Seq,300,6490177500,PRJNA1158549,SAMN43542868,Plant,2123212859,HUAZHONG AGRICULTURAL UNIVERSITY,Jinfengwei,2021-01-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26029108,China,Asia,China: Wuhan,Illumina HiSeq 2500,4-week old A. thaliana,not collected,not collected,At0h1,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2024-10-10T00:00:00Z,replicate = biological replicate 1,2024-09-09T16:15:00Z,1,At_rep1,SRP531630,,missing,missing,Col-0,missing,infected with Botrytis cinerea
