"","MEblack","MEfloralwhite","MEorange","MEsienna3","MEdarkturquoise","MElightcyan1","MEpaleturquoise","MEdarkmagenta","MEwhite","MElightcyan","MEplum1","MEcyan","MEroyalblue","MEgreenyellow","MEgrey60","MEdarkolivegreen","MEpurple","MEyellowgreen","MEpink","MEskyblue","MEdarkgreen","MEivory","MElightsteelblue1","MEskyblue3","MEgrey"
"ERR7738945",-0.0139118831971205,-0.0455012994110607,-0.026447727404133,0.00129162021167224,0.0247122714189654,0.0805902158576483,0.028889070671848,-0.0288469382912394,-0.00737794911222056,0.0848319106086497,-0.0229541996852706,0.0167173592867388,-0.00681094898773047,0.0216944826549337,-0.00574425812937788,0.0144547311434625,-0.0187238144343582,0.0182360268543604,-0.0472386149990733,-0.0370374209919899,-0.00239667981178902,-0.00963714603714188,-0.0130930324193142,-0.00877075277508543,0.0813801272969278
"ERR7738946",-0.0133543946517359,-0.0471664577110307,-0.0273085460756397,0.000917809824753826,0.0248167473083614,0.0802851571381482,0.0278962328233052,-0.0283650078664432,-0.00616129061288007,0.0855976476549604,-0.0260848444940398,0.0155358713246014,-0.00976822223580803,0.0202890229677495,-0.00693223372712304,0.0135077885782887,-0.0194617702030551,0.0193394818352612,-0.0468504094745059,-0.0371969416812,-0.00404883191448699,-0.0114526298312762,-0.0113924470523323,-0.0101898949269945,0.071958905475125
"ERR7738947",0.00439004605622895,-0.0278135220438131,-0.0340223733561199,-0.0325387559468808,0.032296600565114,0.0636540521724426,0.0411865959466913,0.00710673774618515,0.00941091887012698,0.0734606771258919,-0.0300306709204559,0.0145650085705392,-0.196320488246582,-0.00846084745326792,0.0548779384187027,0.0126516385050504,-0.0234076913191446,0.0251184693387444,-0.0404692074057074,-0.0380054300193201,0.000801044701056797,-0.00646083798959288,-0.0186347209020811,-0.00765117453808443,0.110142589278737
"ERR7738939",0.0358654376773265,0.0145626926022623,-0.0373181904646801,-0.0152443910182955,0.0185343198856929,0.00944078125622109,0.0795864399541286,0.0578464110649044,0.0127310994269372,0.0707754488163282,-0.0177760721166863,-0.00163637493791477,-0.052843070944913,-0.0329409663138117,-0.0150731101581189,-0.0467316868082452,-0.0263772663587566,0.0143398150194519,0.00234217583476155,-0.0280686656854509,-0.0105601744507955,-0.00935126183535355,-0.0165311479773518,-0.0150082435407779,0.027577315628381
"ERR7738940",0.035840645619178,0.0101386155872836,-0.0352027812056186,-0.0141210439489558,0.0190041916205113,0.0109300616529725,0.0766676501795068,0.0573040690512507,0.0143489963257726,0.0715215953900589,-0.0172242607400074,0.00476073102914915,-0.0567278467442826,-0.0303309288455014,0.0138419225667197,-0.0452217437750203,-0.0262155650443329,0.0138183103592408,0.00274374610957224,-0.0299409241915667,-0.0105524618992915,-0.0109022614409376,-0.0136761777538507,-0.0126323250429301,0.0290606695016115
"ERR7738941",0.0399863508361486,0.00933448076510818,-0.0445700005425953,-0.0106335345689032,0.02770595090752,0.00694204846161412,0.095414263231074,0.0475944507057324,0.0131609057008174,0.0656783202482049,-0.0190511970693516,0.0034766465166139,-0.0515691989887381,-0.0300133948282752,0.00809847888628192,-0.0520634528551862,-0.0257216397778234,0.00925446187390856,0.00341119715811087,-0.0325432271439017,-0.0156480402582828,-0.0126222085561082,-0.0186670902815441,-0.0175571204120948,0.0201646855486669
"SRR8689382",0.0371783128052053,0.07768417293356,-0.0242286908030754,-0.0436856770277462,0.0223208202158093,0.0412284938080928,0.0565955096598299,-0.0437592152466879,-0.0289904114732293,-0.017893776006961,-0.0208271846282887,-0.0204592000111214,-0.0218462451070152,-0.118990294537616,-0.132043188738304,-0.00981249437820141,-0.0209633155524626,-0.122434272867657,-0.0903072163529619,-0.0524734311282403,-0.0200504109812607,-0.0141086609969336,-0.0188821221183587,-0.0201275468565603,0.0350869495397074
"SRR8689383",0.0374411723903635,0.0727872950335525,-0.0225923650034381,-0.0464796451077097,0.0200107934494806,0.0403153667919358,0.0548819007917645,-0.0454836684387857,-0.0315812591178049,-0.0183772739027202,-0.022656767203558,-0.0165649803090617,-0.000317341594045584,-0.117228373830845,-0.140430969835849,-0.0126266651840067,-0.0233905468149554,-0.116680322953027,-0.0883650602899114,-0.0527284842409681,-0.021110708005879,-0.0158893063746578,-0.017407170836396,-0.0187326483285189,0.024837028935488
"SRR8689384",0.0361083019640313,0.0713118979639652,-0.024110829675081,-0.0407678068799645,0.0193017261389118,0.0417770689437637,0.0549662568434169,-0.0447382493991923,-0.0295465406949926,-0.0196144982035734,-0.0201786097138099,-0.0216456288417192,0.0247314702614198,-0.119923103584056,-0.153286555112605,-0.0159580248339168,-0.0243091622877686,-0.121804850182435,-0.0888060293168876,-0.0529664689820227,-0.0201940261499377,-0.0135019413512644,-0.0155659243787166,-0.0203665381537681,0.0243455027140537
"SRR8689389",0.0108753179925977,0.0529228792891896,-0.0318341647995939,-0.0536391183706645,0.0456372153097039,0.0979685194763174,0.0322142911899771,-0.092855433107933,-0.0369705810002585,-0.0145078844731489,-0.0307590080256255,-0.0170584580986255,-0.0825690375018492,-0.0995487234523896,-0.0886786284781533,0.0660751507372886,-0.0144827175688732,-0.1409048256961,-0.122640903509571,-0.0632608741280073,-0.0119966206158683,-0.0142981809669806,-0.0178829002560161,-0.0185526274727366,0.0719582122017284
