target_id,SRR13824033,SRR13824030,SRR13824004,SRR13824032,SRR13823989,SRR13824011,SRR13824003,SRR13823991,SRR13824015,SRR13823996,SRR13824001,SRR13824025,SRR13823990,SRR13824014,SRR13823992,SRR13823988,SRR13824009,SRR13824031,SRR13824020,SRR13824007,SRR13824022,SRR13824005,SRR13823994,SRR13824023,SRR13824021,SRR13824008,SRR13824024,SRR13824012,SRR13824039,SRR13823997,SRR13824028,SRR13824002,SRR13824018,SRR13824034,SRR13824010,SRR13824013,SRR13824029,SRR13824016,SRR13824035,SRR13824026,SRR13824019,SRR13824000,SRR13824006,SRR13823998,SRR13823995,SRR13824027,SRR13823999,SRR13824017,SRR13823993
AT1G01010.1,5.15026,5.28676,11.4487,6.9359,2.58853,0.0,2.65385,6.72219,17.3811,3.28634,0.530919,3.70986,4.24219,8.44541,8.90648,0.392546,0.0,0.0,4.96217,3.19067,6.0573,0.431403,6.86827,4.20359,0.0,8.83603,3.3552,5.11664,0.0,0.0,3.79109,2.31558,4.63293,16.4291,9.73155,3.52496,3.71913,5.67171,0.0,2.61406,0.0,5.80615,2.67268,4.41383,4.54775,4.42733,12.3704,8.57182,8.62297
AT1G01020.1,0.0,9.19674e-09,0.0,2.68796e-09,6.05766e-09,0.0,3.15593e-08,3.80736e-08,0.0,2.86344e-09,0.0,1.25726e-09,4.29775e-08,9.75538e-09,3.54284e-08,0.0,2.70796e-07,0.0,0.0,0.0,5.12262e-10,0.0,6.71102,0.0,0.0,8.78298e-08,0.822857,0.0,0.0,0.0,5.71586e-09,2.58823e-08,0.0,7.84985e-09,5.67038e-08,2.80511e-09,7.61684e-09,1.08135e-08,0.0,6.59313e-09,0.0,0.0,9.93036e-09,2.37855,2.95086e-09,0.0,0.0,1.36776e-08,2.02227e-08
AT1G01020.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G01020.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G01020.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G01020.5,0.0,4.06945,0.0,4.59397,2.0035,0.0,1.92929,21.991,1.09876,3.54108,0.0,2.40223,3.70079,6.94685,9.37734,0.0,31.0227,3.44637,1.70106,0.0,3.57831,0.0,0.151409,0.0,0.0,7.70833,0.0,2.21016,0.0,0.0,2.48152,2.35968,0.748455,12.1612,4.23941,4.87239,3.24448,5.066,0.0,4.18833,0.0,0.0,3.17943,0.0,7.24037,0.0,0.0,2.33683,4.42498
AT1G01020.6,24.3481,31.2153,37.2857,35.3853,43.9033,0.0,34.8728,24.6188,47.0124,37.2602,43.2199,44.137,52.4537,34.4764,26.0496,48.3048,0.0,15.9771,38.3373,34.6933,36.8887,31.0,36.9344,23.8742,28.9917,27.3807,36.26,37.3748,0.0,30.2547,50.486,36.0265,39.1626,26.8014,37.2131,42.1067,53.0191,46.3642,26.643,33.6808,45.8998,35.7239,36.3344,29.9464,32.4153,45.0003,46.8382,52.3701,40.1772
AT1G01030.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.832862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G01030.2,0.0,1.13734,1.16307,3.21954,0.645394,0.0,0.808806,0.0,2.53344,3.19251,0.970735,1.18705,0.775729,1.20651,1.9656,1.6149,2.68777,0.722401,2.19343e-06,0.729309,2.25876,1.97216,2.51187,0.0,1.40174,2.0197,2.24151,1.80424,0.0,7.31404,2.13305,0.0,1.88262,1.60923,0.889661,0.690542,2.38029,1.09172,2.57317,2.39004,0.0,0.0,2.44364,3.41434,3.26702,1.01198,0.0,1.46948,1.85506
AT1G01040.1,2.19779,6.92736,6.02552,8.38757,4.09325,0.0,6.56842,7.88861,11.2869,7.41515,5.97557,5.95484,4.12745,6.62224,7.94214,4.66919,3.7634,3.43911,6.32948,4.0847,6.90117,4.97054,8.38695,0.0,3.14033,8.14456,6.30488,8.6009,0.0,0.0,6.64536,7.26279,6.45829,11.607,9.21048,7.02023,6.66573,5.57945,3.59994,7.65982,5.24369,5.94083,6.65652,7.81651,6.931,7.79332,0.0,7.81873,6.75335
