sample_ID,p_pseudoaligned,n_pseudoaligned, n_processed
5_9_S55_R1_001.fastq.gz_trimmed,63.9,2080498, 3256133
2_13_S25_R1_001.fastq.gz_trimmed,14.1,432373, 3067891
4_13_S43_R1_001.fastq.gz_trimmed,38.0,1251145, 3291977
4_5_S35_R1_001.fastq.gz_trimmed,60.8,2051114, 3371054
6_13_S74_R1_001.fastq.gz_trimmed,64.1,2346604, 3661591
5_13_S59_R1_001.fastq.gz_trimmed,53.8,2581537, 4797212
4_9_S39_R1_001.fastq.gz_trimmed,59.8,2231362, 3730452
5_1_S47_R1_001.fastq.gz_trimmed,66.6,2251242, 3380609
1_9_S8_R1_001.fastq.gz_trimmed,16.5,603216, 3654798
4_1_S31_R1_001.fastq.gz_trimmed,56.0,2232129, 3986668
3_9_S30_R1_001.fastq.gz_trimmed,63.9,2464097, 3855022
6_1_S63_R1_001.fastq.gz_trimmed,35.3,938268, 2658296
1_5_S4_R1_001.fastq.gz_trimmed,27.9,927175, 3326079
5_5_S51_R1_001.fastq.gz_trimmed,68.6,2202684, 3211818
6_5_S67_R1_001.fastq.gz_trimmed,27.7,542246, 1960309
3_1_S29_R1_001.fastq.gz_trimmed,33.7,886126, 2627662
2_9_S21_R1_001.fastq.gz_trimmed,44.8,1669826, 3727158
