sample_ID,p_pseudoaligned,n_pseudoaligned, n_processed
SRR18568320,96.1,49670818, 51660306
SRR18568318,91.3,46876572, 51334948
SRR22565228,69.3,198243, 285873
SRR8800678,96.8,1320254, 1363645
SRR8800681,96.8,5059584, 5224394
SRR10030474,88.8,3152880, 3552277
ERR9604294,97.3,49060000, 50428892
SRR10030497,73.3,2611034, 3563211
SRR22565224,62.6,9254632, 14780388
SRR8800695,90.4,13908243, 15389851
SRR10030461,88.6,3250493, 3666715
ERR9604298,91.6,46128137, 50374802
SRR10030476,88.9,1270830, 1429186
SRR10030479,88.8,3080318, 3468155
SRR18568328,40.9,41799974, 102288192
ERR9604296,90.6,45684395, 50421322
SRR10030460,88.6,3276895, 3696954
SRR10030478,88.9,2947893, 3316637
SRR10030502,73.8,2701894, 3663183
SRR8800701,96.6,6319093, 6544596
SRR8800692,96.4,21273181, 22070622
ERR9604283,97.0,48441269, 49933448
SRR10030449,88.6,3293095, 3715415
ERR9604285,91.5,45308069, 49543654
SRR10030453,88.6,3317725, 3745061
SRR10030498,73.7,1987617, 2696331
SRR22565234,79.3,1523684, 1921623
SRR18568314,96.3,49684846, 51576600
SRR8800680,96.8,4833081, 4990510
SRR10030501,73.7,2730416, 3703924
SRR10030457,88.8,3020017, 3401909
SRR10030503,74.2,2531401, 3413556
SRR8800683,96.9,1389457, 1433791
SRR8800679,96.9,6397985, 6600480
SRR10030475,88.9,2911771, 3276730
ERR9604343,97.1,49308905, 50803094
SRR10030490,73.2,2696872, 3686129
SRR10030452,88.6,3332710, 3761935
SRR10030494,73.7,2698683, 3659353
SRR22565221,65.0,4359895, 6708076
SRR8800700,96.6,6277804, 6499382
SRR8800699,96.8,6632681, 6853015
SRR10030480,88.6,3296691, 3720072
SRR18568324,41.4,42298668, 102223536
SRR18568313,96.4,49681644, 51541986
SRR10030496,73.6,2716175, 3688187
SRR10030499,74.0,2630411, 3554921
SRR22565235,79.3,3474128, 4380030
SRR10030456,88.9,2965259, 3337227
ERR9604291,87.6,43772153, 49984458
SRR8800706,96.6,2348324, 2431973
SRR8800687,96.9,2132610, 2201631
SRR22565227,65.5,8007061, 12223436
SRR10030481,88.7,3276357, 3695248
SRR10030483,73.7,2729222, 3703222
SRR10030464,88.8,3240670, 3650897
SRR22565223,65.6,6605185, 10074275
SRR10030466,88.6,3275691, 3695396
SRR10030451,89.0,2757905, 3100041
SRR22565220,63.7,7503894, 11775786
SRR10030473,88.6,3239899, 3654812
SRR8800698,96.6,1359742, 1407576
SRR22565219,68.2,30804522, 45185633
