"","MEblack","MEgreen","MEdarkorange","MEorange","MEturquoise","MEdarkolivegreen","MEpaleturquoise","MEdarkgreen","MEdarkmagenta","MEcyan","MEwhite","MEred","MEdarkred","MEviolet","MEorangered4","MEsienna3","MEblue","MEpink","MEskyblue","MElightcyan","MElightgreen","MEgrey"
"ERR7738945",0.0746871240694853,0.0175999810276373,0.00848373086199258,0.0372272240757029,-0.0056756920092866,-0.0189654515583889,0.00687768332973943,-0.0263790446536183,-0.00301512034334263,0.021788384099418,-0.00669131186297212,-0.00721632707934104,0.101887191688606,0.053895231708001,-0.0100314612127751,-0.0090346579289865,-0.0324884052543924,-0.0491690030270638,-0.0853642302780381,-0.00468681414765613,0.0179538140958746,0.103358257806794
"ERR7738946",0.0745923707879468,0.0175008958170835,0.0083948095229065,0.0367627514389577,-0.00514254290012595,-0.0165827591526782,0.00695151362424395,-0.0268979761989675,-0.00199164194655609,0.0202961742703429,-0.0101813857816049,-0.00874848397378558,0.10185337937675,0.0539813966823806,-0.00752438156604129,-0.0109615940196018,-0.0328284417541348,-0.0493423363369327,-0.0857030567285501,-0.00593313899581638,0.0168493433646709,0.09375292248607
"ERR7738947",0.0639904808629794,0.010290377080128,0.0303812974244615,0.0202570572276633,0.0115809497684812,0.0120301650233223,0.0163634190808172,-0.0419725300894803,-0.0449503172664234,0.017915277948551,-0.195313852595446,-0.00360395677889991,0.0802422033574479,0.0440458341798675,-0.0179282149106591,-0.0086494310971984,-0.0349387946023379,-0.0368321807050559,-0.0688181176345475,0.0563030556513445,-0.00941673534333076,0.111664723631076
"ERR7738939",0.00504102629775632,-0.0130132631364699,0.0261795515498985,0.0379555069152998,0.0401681986642672,0.0526486833212565,0.07794732078203,-0.0454210471413898,-0.0179159561742582,-0.00205141190996221,-0.05549574149535,-0.0121161798416808,0.0639189171695232,0.0427304725474656,-0.0144356150854488,-0.0141529000694312,-0.0283423978863252,0.0150787626097074,-0.0177454529299414,-0.014634138385301,-0.0346664354827748,0.0244678013066655
"ERR7738940",0.0069345001301916,-0.0123381502764189,0.0285491441190738,0.0363945132069341,0.0408720350860664,0.0519296332888707,0.0755730917251044,-0.0450344322983484,-0.0184922457210483,0.00335524004224517,-0.0603880136919723,-0.0125339626145668,0.0651492957969228,0.0436808606570676,-0.0139654598471814,-0.0117786044636441,-0.0299528672693248,0.0151910635781609,-0.0200714080696242,0.0146055974088895,-0.0312569180167775,0.0295471423919013
"ERR7738941",0.00291973234398259,-0.00852880378411112,0.0309044026374619,0.0722502582900549,0.0467395481555014,0.0421547877704025,0.0994220868772059,-0.052718321353246,-0.0139191475699847,0.00278509841533821,-0.0573046307384222,-0.0159456447258433,0.0607048533900991,0.0367564998297753,-0.0158958839209179,-0.0175355925819522,-0.0323123129757922,0.0128652731215377,-0.0234140386360573,0.00871393309069895,-0.0311919691932063,0.0163645371278196
"SRR8689382",0.0528476317509707,-0.0195245388138742,0.0286557855283672,-0.0229502666365219,0.0387844622133123,-0.0532415205915626,0.0371074319683983,-0.0337785854775559,-0.0393940952126729,-0.0190069605332804,-0.0237754256619005,-0.0206380733226862,0.00338937903675213,-0.0272117721407018,-0.0191012247753836,-0.0205842678798648,-0.0488154648852568,-0.0980578090745573,-0.0513458389833195,-0.131196649061364,-0.121827659951106,0.00715919596621618
"SRR8689383",0.051532640993844,-0.020705713501358,0.0263569025593077,-0.0254179206136763,0.0382913406793375,-0.0553032150528318,0.0371099539092883,-0.0315578341261155,-0.0405527184450326,-0.0171643850339522,-0.0012732614074395,-0.0220046524191545,0.00329314880809139,-0.0285938799409164,-0.0174218828134707,-0.0189769638503833,-0.0496410136017307,-0.0957437707519416,-0.0518773144794605,-0.139609390103628,-0.120012424955854,0.0109136985409372
"SRR8689384",0.052708522138928,-0.020343357292293,0.0258715390421666,-0.0219760237298643,0.0372085094804257,-0.0531077816302531,0.0364682259676419,-0.0309071382340724,-0.0336356059834664,-0.0208742247433438,0.0258441095105828,-0.0199044691110028,0.00466834385052872,-0.0291181060846614,-0.0158485648486549,-0.0210889901313493,-0.0498592503854396,-0.0963963523676554,-0.0502418815921106,-0.152121314542556,-0.122764287343529,0.00821439572678531
"SRR8689389",0.110708383941182,0.0120567586502552,0.0306618461269275,-0.0191184066325519,0.0173549441168155,-0.0925843136083665,-0.00314084869882607,-0.0424771860969937,-0.0578958105847698,-0.0160559877624279,-0.0859684524333683,-0.0141694923023711,0.0318233223989483,-0.0333384821836744,-0.0205195283004207,-0.0187797169112546,-0.0553058300866336,-0.143160180162576,-0.124349284558943,-0.0892667908099068,-0.102781534918159,0.0381833121147511
"SRR8689390",0.108870512194516,0.00904027717308892,0.0263452121561835,-0.0167162953224572,0.0154655997842026,-0.0931312094485467,0.00464673371246208,-0.0389033517333483,-0.0425336146275394,-0.00852306234737809,-0.0400530302483405,-0.0150537166974533,0.0314660047347118,-0.0336940321348883,-0.019147530770397,-0.023873789904754,-0.0556057980369009,-0.14082013451357,-0.119223728495159,-0.117285129029118,-0.10434573035097,0.0197317661768032
"SRR8689394",0.101780250105937,0.00432910304460106,0.0387654516348616,-0.0359974541661724,0.0290681925846621,-0.0918288630309387,0.00293186133055853,-0.039579702366737,-0.0550756357621093,-0.0164949955905843,-0.0967189734866434,-0.0147127655066489,0.0239942423636058,-0.0372640992509206,-0.0205195283004206,-0.0189585256143491,-0.0579867061748228,-0.14435042981568,-0.118441403257074,-0.0962644021611678,-0.12699384518282,0.0270118797389572
"SRR8689395",0.0985433330629966,-0.00145892318976636,0.0319513768732017,-0.0354259218387939,0.0263449482790222,-0.0933564822915639,0.00951727847256722,-0.0325276124591607,-0.0292737127498061,-0.0141484423093395,0.0154568516852902,-0.0174627744665362,0.0212421331732861,-0.0384848668034892,-0.0205195283004207,-0.0253100002063505,-0.0588108572210297,-0.14193724452976,-0.120208723252042,-0.147459389767867,-0.131101218083433,0.0116281176267385
"SRR8689396",0.0990997065573993,-0.0013491818348197,0.0328588650532597,-0.0338412399865572,0.0258898902820089,-0.0904262917216148,0.00684264913428035,-0.0322728306478183,-0.0297900318619188,-0.0119746490098913,0.0293841344720949,-0.0159481009158312,0.0209460416849721,-0.0403212623225873,-0.0170503147205832,-0.0240769706760327,-0.0582207369493952,-0.140544522070175,-0.118288685316801,-0.160060610303321,-0.136493697086844,0.0187482682473569
"SRR8689400",-0.0300262487626607,-0.0567833399087904,0.0146970387264251,-0.0207875614649132,0.06397916242601,0.0085209047292239,0.0787309349397697,-0.0160835851973478,-0.0276241814679188,-0.0148626079808068,-0.0424841204260427,-0.0171821094406283,-0.0570950067325148,-0.0268551732291358,-0.0205195283004207,-0.0148331782414775,-0.0338655166122987,-0.033434123892574,0.023247281084728,-0.129887514991803,-0.117129027351106,0.0271496336046833
