"","MEblack","MEblue","MEbrown","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkorange","MEdarkred","MEdarkturquoise","MEgreen","MEgreenyellow","MEgrey60","MElightcyan","MElightgreen","MElightyellow","MEmagenta","MEmidnightblue","MEorange","MEpaleturquoise","MEpink","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsienna3","MEskyblue","MEskyblue3","MEsteelblue","MEtan","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellowgreen"
"ERR7738945",0.0778473943006474,-0.0347301482699392,0.0181962566511148,0.0634571631701038,0.00861088755046113,-0.0466102043592338,-0.0101264320411163,-0.00318180875067273,0.00545336620992995,0.0400314126934351,0.0252460444699103,-0.0113357625622617,0.0636465834794181,0.112341223537711,0.0445205723779381,0.0519865148261828,0.00303383913233874,0.0159017902083175,0.0561452594921069,-0.00930605027751985,0.00908578149701981,0.0142363804206639,-0.0181945877336463,-0.0531388016075071,0.0955402122940633,-0.00522758308518209,0.0602376577210638,-0.00765159177765226,0.0707820386858858,-0.0158092624442211,0.0470925630757855,-0.00937615656775309,0.00575493899782221,-0.0494388760511103,-0.10949599047148,-0.00433337033427771,0.000848449324126611
"ERR7738946",0.0777276835205396,-0.0350138078035054,0.0179224110532903,0.0630180073651797,0.00819495171302581,-0.0472187355065571,-0.0140002727575521,-0.00333432150651901,0.0042401431495132,0.0410387966803191,0.0258781188212134,-0.0108915286981686,0.0628488168942916,0.11202187246576,0.0421748629119614,0.0500172532266637,0.00327532383816437,0.0173934449860605,0.0562501636890472,-0.0122284298265707,0.00846011948390747,0.0139668429512045,-0.0186422668733234,-0.0532726342453581,0.0944570086334523,-0.00792469629078323,0.0595463282598153,-0.0081076146977223,0.0697127426678893,-0.0124835265712073,0.0465093580875686,-0.0115096991684868,0.00528461784849987,-0.0505099160514545,-0.10865180980425,-0.00590290948817401,-0.000225450555820032
"ERR7738947",0.0691653872053417,-0.036451198994629,0.0129723362909504,0.0448431440883867,-0.0288103408661692,-0.0259473509394214,-0.0147365948526125,0.0169165837780213,-0.0398201749838264,0.0246143498230931,0.0332108786104421,0.00259022548999677,0.0544791254731918,0.103046148940606,-0.0114931500483758,0.050843577202588,0.0249717574180248,0.0369823137967442,0.0404940261390188,-0.198350415626756,0.020415510736535,0.0164850879416821,0.022779520341866,-0.0410210514296245,0.0688271265070606,-0.00913759038892895,0.0513556215919087,-0.0113211083312534,0.0479671308300209,-0.0173801589728884,0.0240637659815926,-0.0064116492516017,-0.00897030884719929,-0.0357764865312055,-0.0935905018483166,-0.00209914498620578,0.0283280383592837
"ERR7738939",0.00104536961540286,-0.0292724658897147,0.00932144249959379,-0.0179799400658308,-0.0457669673948221,0.051398154463055,-0.0180342909958984,0.021685498495035,-0.0260252843994715,0.0376255669926295,0.004191393001565,0.0297256333569171,-0.0181948164946622,0.0890016027172261,-0.0411668300831597,0.00518932402178545,0.0186255410653258,0.0379802707123664,0.0473507669305049,-0.0571964135197125,0.0751261297461838,0.0025180449951971,-0.0169643370020999,0.0191822101008321,0.0387469920101121,-0.0120701660684269,0.0252437358607852,-0.0164915625210657,0.0565106828049543,-0.0152733217918301,0.0240380684935749,-0.00951793789979247,-0.0354801025571516,0.0438556520478443,0.0309883573730672,-0.0111912189453702,0.0497193281242031
"ERR7738940",0.00327561688762641,-0.0310322529248289,0.00992577208952153,-0.0141915723370261,-0.0487097385538767,0.053191912820349,-0.0157279462614085,0.0220737526307406,-0.0246701194462974,0.0353232894979856,-0.00184079896278565,0.0282949344751349,-0.0163178246114937,0.0893714507559297,-0.0437611564975388,0.00527060787319268,0.0200950799926143,0.0384857096604064,0.0491577462780574,-0.0606015232197505,0.0706571627694477,0.00843834417740754,0.00323000631212914,0.0202568554925559,0.039056394145595,-0.0106873773433928,0.0268744103419137,-0.0154288570818672,0.0603811892417718,-0.0109914979569266,0.0243022548743707,-0.0115500745379687,-0.035847424522521,0.050105506104087,0.0298056756534657,-0.0108072659236095,0.0500203065582063
"ERR7738941",7.31190875194162e-05,-0.0329322741019842,0.019712452164591,-0.0209802900893976,-0.0483215895962721,0.0668035814390877,-0.0191912546216409,0.0188472094058945,-0.0236907271736516,0.0685012038940671,0.0029961498044377,0.0271187498058217,-0.026011593774582,0.0865514937648212,-0.0403643078506916,0.00875302739740723,0.0188200028722946,0.0439430959326389,0.0409504938833534,-0.0567431311144244,0.0927381522096821,0.00784609429859531,-0.0037839863697125,0.019456892862932,0.0348027563487212,-0.0153270146187189,0.0264576107349542,-0.0179734908464999,0.0556460081092126,-0.0126555260629977,0.0231074626512454,-0.0119629201943068,-0.0411056127491653,0.0537649418284892,0.0332136049342929,-0.0152891113720611,0.0307767872666116
"SRR8689382",0.0542766064679004,-0.0511772217537681,-0.0126508426464649,0.0234221327214724,-0.0671313902299716,-0.0177954082092851,-0.0253235921711737,-0.128315110694165,-0.0538738689247266,-0.00963151396463858,0.0739324391567489,0.0376276086732477,0.0229844917962686,-0.00756530896250828,-0.108595492822205,0.0396742016078029,-0.00115956932366986,0.0540268268575448,-0.0251085651819669,-0.0232177119122597,0.0374209020676208,-0.0213274686699066,-0.133525950854527,-0.0953747212027977,0.01125425880401,-0.0217089332174807,0.0619291815217015,-0.0189081559384967,0.0160941930228587,-0.0173801589728884,-0.0389436753339334,-0.0141750859963487,-0.0418275037160085,-0.0462898784130422,-0.0867393050003295,-0.0216926611024641,-0.0705687388881794
"SRR8689383",0.0531985954651146,-0.0515311754674718,-0.0135790093859905,0.0216369184625919,-0.0637361299654666,-0.0168063607094847,-0.0213177328281798,-0.123863993021257,-0.0525456675550014,-0.00992931904453208,0.0704366889259142,0.0384061617519681,0.018093105667059,-0.00928074847523886,-0.105525534168956,0.0370499662810443,-0.00251692964582484,0.0514374749477695,-0.0244604513954485,0.000437781165040604,0.0353421684545924,-0.0217540700745054,-0.138879312939047,-0.0936224008959494,0.00978424561040864,-0.0179659942410957,0.0610022612524639,-0.0186478775557604,0.0200428897531439,-0.0173801589728884,-0.0385983064521519,-0.015832363792285,-0.0423306797409949,-0.0459543000382318,-0.0851847149830531,-0.0223150292576378,-0.073283590658847
"SRR8689384",0.0541161871942557,-0.0517616969168626,-0.0115222039681208,0.0223727646737119,-0.0637054108594492,-0.0166653922746149,-0.0195653900465489,-0.128949122093437,-0.0459333970113878,-0.00861640883705148,0.0679700837431264,0.0368537135328881,0.0186003209664795,-0.0113869056709847,-0.102451377328492,0.0374404132344216,-0.000888789096126638,0.0492481045293438,-0.0248891170904214,0.0265967739595098,0.0361060007305574,-0.0244846538028403,-0.153795108258516,-0.0929737417676595,0.0122083424557128,-0.020596863307956,0.063803203633581,-0.0203100165469963,0.0235420704256221,-0.0123245851724454,-0.0375524505228067,-0.0131166724241837,-0.041196326138649,-0.0481781671267087,-0.0868175142382611,-0.0212917230078751,-0.0697218171711307
"SRR8689389",0.117352428192616,-0.0575739710982618,0.00591751743035889,0.0833705077255345,-0.0567007129964102,-0.067897533054252,-0.0271795469952289,-0.141489488358143,-0.0568299325007799,-0.00281601924785401,0.115202464971263,0.00373603270763554,0.100303653268047,0.00902349831128617,-0.0938922465376593,0.0855740965460568,0.00298135108441103,0.0572622480071778,-0.0319202919556622,-0.0832839565162045,-0.000319841202852325,-0.0211889265158551,-0.0947207260773101,-0.145325975991234,0.0521125316212252,-0.0172782352079387,0.0827450734975667,-0.0163961631033189,0.0300450735363834,-0.0173801589728885,-0.015600279280667,-0.0142087485218871,-0.0242225837702366,-0.107655471354303,-0.188883159478169,-0.0135815451348967,-0.0898056762778734
