"","MEblack","MEblue","MEbrown","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkorange","MEdarkred","MEdarkturquoise","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MElightcyan","MElightgreen","MElightyellow","MEmagenta","MEmidnightblue","MEorange","MEorangered4","MEpaleturquoise","MEpink","MEplum1","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsienna3","MEskyblue","MEskyblue3","MEsteelblue","MEtan","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellowgreen"
"ERR7738945",0.072632932678058,-0.0337532996980044,-0.031323825139716,0.029621811659427,-0.0263790446536183,-0.00614158724184779,-0.00301512034334263,-0.0189654515583889,-0.00383076560013739,0.0971363427153381,0.0422749341550063,0.00337927141307672,0.0511525274492937,0.103358257806794,0.0857708078492017,-0.00468681414765613,-0.0185402977697819,0.0995820359590235,-0.0153987316120788,0.0361060150135367,0.0372272240757029,-0.0100314612127751,0.00687768332973943,-0.0554514557440609,-0.00932974858187003,-0.0180391260961892,-0.00574728429036206,0.0534192642317221,0.00311356821531872,0.0689754931845928,-0.0182728028617774,-0.0853642302780381,0.0154039190980801,-0.00397379384354923,0.0132109756072515,-0.0056756920092866,-0.00524635046126165,-0.00669131186297212,0.0185611859953552,-0.01189623771611
"ERR7738946",0.0726592231989412,-0.0337738761939168,-0.0319334167112395,0.0270901948830314,-0.0268979761989675,-0.00872586906680273,-0.00199164194655609,-0.0165827591526782,-0.00437338787934244,0.0969098813491414,0.0436321999657169,0.00341244497518917,0.0496100024440863,0.09375292248607,0.0852117984439822,-0.00593313899581638,-0.0174080447752418,0.0997741166713105,-0.0150307967013832,0.0337397241055917,0.0367627514389577,-0.00752438156604129,0.00695151362424395,-0.0557608466774573,-0.0112079112144398,-0.018762313154543,-0.00705502905366184,0.0526601343343842,0.00394222548746337,0.0687499489907683,-0.0168426887441725,-0.0857030567285501,0.0164624183525113,-0.00732076287774164,0.013431700845121,-0.00514254290012595,-0.00633810921012962,-0.0101813857816049,0.0189772123945539,-0.0116809479111347
"ERR7738947",0.0642998626420242,-0.041951957242277,-0.0265942686177394,0.0262297936749145,-0.0419725300894803,-0.00256653424991826,-0.0449503172664234,0.0120301650233223,0.0133820919321268,0.0667471798203892,0.0276606694121963,-0.0146282838675704,0.0448885171911667,0.111664723631076,0.0806533638111308,0.0563030556513445,0.00275288536115859,0.0888935728525962,-0.0182457022097875,-0.0150522696152804,0.0202570572276633,-0.0179282149106591,0.0163634190808172,-0.0428008528634369,-0.00308058302854441,-0.0244848129268542,-0.00287796804100893,0.0373203269641422,-0.00248844502064172,0.0554626962126976,-0.00987056106546537,-0.0688181176345475,0.0233855055490355,-0.00795456724983804,0.0365340848409242,0.0115809497684812,-0.0151178835254543,-0.195313852595446,0.0234998105876927,-0.00756864627683675
"ERR7738939",0.0117690662994651,-0.0233936773032476,-0.031738497641131,-0.00393372347993626,-0.0454210471413898,-0.00711014292210238,-0.0179159561742582,0.0526486833212565,0.0208538327537754,0.0433487043432464,0.0353884071989451,-0.00969933085465158,-0.042819057659346,0.0244678013066655,0.065916282383873,-0.014634138385301,-0.0158695494486409,0.0811425171880073,-0.0367425191058612,-0.0424547963055985,0.0379555069152998,-0.0144356150854488,0.07794732078203,0.0147652677828335,-0.00986067627956649,-0.0263958084149719,-0.0127494885116548,-0.0260754097680913,0.00246685409658258,-0.00580713703677868,-0.0120231649095962,-0.0177454529299414,0.0144670502484761,-0.0145627110586358,0.0273132016832821,0.0401681986642672,-0.00240423010454425,-0.05549574149535,0.0162722849426285,-0.0109347107639069
"ERR7738940",0.01411993149733,-0.025797579603613,-0.0326170444851002,-0.00061669434786322,-0.0450344322983484,-0.00945851896359922,-0.0184922457210483,0.0519296332888707,0.0232762530950044,0.0440980500066304,0.0352314738764018,-0.0086885079953028,-0.040789107149714,0.0295471423919013,0.067742541013359,0.0146055974088895,-0.000948627612352859,0.082924627546941,-0.0370984710160344,-0.0450775226874215,0.0363945132069341,-0.0139654598471814,0.0755730917251044,0.0149035570231735,-0.01210535661477,-0.0271921510951826,-0.0122755673026089,-0.0246637186440744,0.0121712218741844,-0.00496073137407765,-0.00792587714559022,-0.0200714080696242,0.0142526810506127,-0.0134686000926572,0.0296127008728775,0.0408720350860664,-0.00139741998066366,-0.0603880136919723,0.0160542690934557,-0.0119511984630525
"ERR7738941",0.0120841639343449,-0.027588089805633,-0.0360835817637376,-0.00132570102553882,-0.052718321353246,-0.0109274482434338,-0.0139191475699847,0.0421547877704025,0.0248621007176616,0.0403042689894518,0.0297553385096763,-0.000430339706135137,-0.0465002757861074,0.0163645371278196,0.0600002259371299,0.00871393309069895,-0.00372219691458802,0.0780397479291208,-0.0353871359467997,-0.0434551196867359,0.0722502582900549,-0.0158958839209179,0.0994220868772059,0.0127383411653953,-0.0182903680812816,-0.0263422759453858,-0.0161156308957723,-0.0300596128904152,0.0119679471848113,-0.0125491973677814,-0.013450037316775,-0.0234140386360573,0.0108583534130395,-0.0187542512475707,0.03206629346012,0.0467395481555014,-0.00768955878629418,-0.0573046307384222,0.0231831993490201,-0.0118420650585589
"SRR8689382",0.0597213982116619,-0.050909710236071,-0.0472588606973201,-0.0157484448688402,-0.0337785854775559,-0.0156086285469044,-0.0393940952126729,-0.0532415205915626,-0.0197513740016497,0.0129968610683047,-0.0283578177724699,-0.0490651619346428,0.0124029339883634,0.00715919596621618,-0.0238495222407878,-0.131196649061364,-0.142093678012716,-0.00682142012923003,-0.0606943342425155,-0.102772520327953,-0.0229502666365219,-0.0191012247753836,0.0371074319683983,-0.0926096670767359,-0.0185089445447175,-0.0214268596324124,-0.0215710612362101,0.0150949777321357,-0.0257707215217131,0.0331211532743794,-0.0203276939168899,-0.0513458389833195,-0.123363009930469,-0.0188631911701035,0.049418252224153,0.0387844622133123,-0.0264547436449732,-0.0237754256619005,0.0114388671819149,-0.00981508032955178
"SRR8689383",0.0585083263355915,-0.0500988605385765,-0.0496344927035662,-0.0141224170959965,-0.0315578341261155,-0.016961546201371,-0.0405527184450326,-0.0553032150528318,-0.0222853377102727,0.012521529389555,-0.0306932099297223,-0.0489734112727517,0.00822579516949177,0.0109136985409372,-0.0232376933021113,-0.139609390103628,-0.144578117408721,-0.00643634835670459,-0.0599957526542342,-0.098644281071263,-0.0254179206136763,-0.0174218828134707,0.0371099539092883,-0.0907317121154522,-0.0194586911936883,-0.0233834321217933,-0.0223198394948848,0.0144030562402301,-0.0237833774381586,0.0316773361106567,-0.0172094192743503,-0.0518773144794605,-0.117796045584073,-0.0182005061052642,0.0472568001695317,0.0382913406793375,-0.0304575284423657,-0.0012732614074395,0.0092113136855707,-0.0133231283959895
"SRR8689384",0.0609226767951219,-0.0501645143393635,-0.0497592281902873,-0.0152357360780247,-0.0309071382340724,-0.012745899975021,-0.0336356059834664,-0.0531077816302531,-0.0206603547336361,0.0163147337571667,-0.031956368950475,-0.0470855922579038,0.0096098136668746,0.00821439572678531,-0.0246522379345739,-0.152121314542556,-0.155336423548241,-0.00784572645629045,-0.061429359527724,-0.0972041174604382,-0.0219760237298643,-0.0158485648486549,0.0364682259676419,-0.0909438318840266,-0.0197139855577886,-0.0245303691186224,-0.0207241275641638,0.0134962328445374,-0.0327816796473726,0.0308209476094456,-0.0183120032444061,-0.0502418815921106,-0.122316317628166,-0.0206321232575914,0.0458543438906037,0.0372085094804257,-0.0276442484785983,0.0258441095105828,0.00903816027884675,-0.0137021983380402
"SRR8689389",0.103410114759228,-0.0597240141922794,-0.0541320103589204,-0.00619057266190562,-0.0424771860969937,-0.0157561017496364,-0.0578958105847698,-0.0925843136083665,-0.0304141995647692,0.0474056769721137,-0.038365911011802,-0.0350086272156824,0.0782811677038005,0.0381833121147511,-0.0225926851115089,-0.0892667908099068,-0.114561913515624,0.0125401726028189,-0.0411985509892711,-0.0893710541810245,-0.0191184066325519,-0.0205195283004207,-0.00314084869882607,-0.139634222055281,-0.0193581517308654,-0.0129495811299697,-0.0119657962457028,0.0799017745231638,-0.0380279673573412,0.108333789925426,-0.0207204564027366,-0.124349284558943,-0.142259999714254,-0.0161805483325619,0.0571523759837682,0.0173549441168155,-0.0404066490170559,-0.0859684524333683,0.0328462335573164,-0.010311586981708
