"","ModuleColors","Freq"
"1","black",909
"2","blue",2647
"3","brown",1682
"4","cyan",581
"5","darkgreen",323
"6","darkgrey",242
"7","darkmagenta",117
"8","darkolivegreen",119
"9","darkorange",179
"10","darkred",383
"11","darkturquoise",261
"12","green",1302
"13","greenyellow",649
"14","grey",630
"15","grey60",433
"16","lightcyan",467
"17","lightgreen",432
"18","lightyellow",401
"19","magenta",703
"20","midnightblue",548
"21","orange",240
"22","paleturquoise",160
"23","pink",728
"24","plum1",82
"25","purple",692
"26","red",966
"27","royalblue",388
"28","saddlebrown",173
"29","salmon",603
"30","sienna3",106
"31","skyblue",176
"32","skyblue3",91
"33","steelblue",170
"34","tan",607
"35","turquoise",4940
"36","violet",120
"37","white",178
"38","yellow",1475
"39","yellowgreen",91
