"","MEpink","MEturquoise","MEgreenyellow","MEpaleturquoise","MEdarkred","MEmagenta","MEskyblue","MEdarkolivegreen","MEdarkturquoise","MEdarkgreen","MEcyan","MEgreen","MEblue","MEdarkorange","MEsaddlebrown","MEblack","MEwhite","MEgrey"
"ERR7738945",-0.06040920707684,-0.0305186546285092,-0.0162182943419274,0.0215302395070021,-0.0014722356493807,0.0134939359299952,-0.00807517733065029,-0.0138798937294831,-0.00725572008262637,0.0848846081713968,-0.00846388598860908,-0.00497664332872312,-0.00999052651016078,-0.00208789879596283,-0.0333328068787685,0.0744349494881796,0.0166425843790613,-0.0149573864297744
"ERR7738946",-0.060599584865051,-0.0308948008524245,-0.01658489146368,0.0199749952544487,-0.00390257653147086,0.0126251755499608,-0.00679561874830853,-0.0111575872539684,-0.00871781595106425,0.0844544707864029,-0.0103489557465776,-0.00647359776428602,-0.00968094056751589,-0.000766266606192001,-0.0345830250372988,0.0734224263167079,0.0170791140379315,-0.0112151380119413
"ERR7738947",-0.0449732636677743,-0.0331966241159184,0.0264324588783795,-0.022142998184829,-0.185153821722347,0.0133887079325732,-0.0561374630025927,-0.0186510963219447,-0.00855195952750711,0.0719966255413391,-0.00493629635944864,-0.00297164353696178,0.00612001196022771,0.0186208913492186,0.0068154665729511,0.0613611049232675,0.0219062443489726,-0.0215255108549501
"ERR7738939",0.0210037989508576,-0.0284375127143416,-0.016941107019659,-0.048127416052264,-0.0530250736367218,0.00118187486100962,-0.0239805603768168,-0.0132315905651915,-0.0147601504220158,0.0674383756847668,-0.00958016301412916,-0.0118732285724159,0.0378356826674688,0.0180980087950364,0.0542381859912512,-0.00132767036015578,0.0227290633448941,-0.0190699373132967
"ERR7738940",0.0210164319631069,-0.0301706156074813,0.00362753704094259,-0.049971767150553,-0.0546634597482967,0.00615571564766229,-0.0236542993688416,-0.0151001573561048,-0.0131341159908891,0.0686011086589872,-0.0115131642176345,-0.0113624310210087,0.0377062536381633,0.0180926576180295,0.0554989120226368,0.00106447129879665,0.0224421603487347,-0.0117283655076266
"ERR7738941",0.0204884423523166,-0.0325336025440234,-0.00241082941286777,-0.0499095312036758,-0.0494915390483575,0.00549132335873728,-0.0200999670080444,-0.0153027098627026,-0.017222609732871,0.0626985503660981,-0.0122657839786177,-0.0157197256889644,0.0423616006772304,0.0133298379669757,0.054724813202177,-0.0028914124279233,0.0331267584706269,-0.0012611700617546
"SRR8689382",-0.0979942359076803,-0.0527349878366981,-0.133515085417585,-0.0935694896149806,-0.0279423244510625,-0.017726642501269,-0.0397257993682769,-0.0195070427106065,-0.0203884743363533,-0.017227560926407,-0.014458527977717,-0.0218650508115039,0.037191455210914,-0.0240170637495808,-0.0300201540248331,0.0400204484615893,0.0119915854042764,0.305237354748355
"SRR8689383",-0.0953846187245304,-0.0533054562126616,-0.139987877598541,-0.0901352432984129,-0.00540714762730784,-0.0165172649899181,-0.0404410525146676,-0.0195070427106065,-0.0183123457735807,-0.0174540300334654,-0.0157555147255528,-0.0228498774765115,0.0375072453127105,-0.0278456031251593,-0.0319085872430122,0.0377329759652096,0.0106617577150041,0.573690095829143
"SRR8689384",-0.095871157511873,-0.0533056577178599,-0.154380114129014,-0.0884362321205558,0.0191787090647165,-0.0197648577952055,-0.0309110306593967,-0.0160737914258543,-0.020360212465515,-0.0179849745782924,-0.0134414159739643,-0.0214639066092734,0.0364508627322622,-0.0246444863047277,-0.0303308911383433,0.0390715680351396,0.0109249845461756,0.193765751303629
"SRR8689389",-0.153210438321058,-0.0583094927972169,-0.0946563454263744,-0.0804752473993231,-0.0817433624860736,-0.0188978390179516,-0.0532728199657515,-0.0195070427106065,-0.0176348689704385,-0.00908827503623437,-0.0142533652181598,-0.0132460697418152,0.0119673115180485,-0.0303907416318004,-0.0824566750100723,0.101879928689995,0.0249456894916451,-0.013368770287006
