"","MEgreen","MEviolet","MEblue","MEdarkgreen","MEpurple","MEblack","MEcyan","MElightyellow","MEdarkmagenta","MEskyblue3","MEyellowgreen","MEdarkgrey","MEdarkolivegreen","MEorange","MEdarkorange","MEpink","MEtan","MEyellow","MEgrey60","MEskyblue"
"ERR7738945",-0.0113357625622617,-0.0494388760511103,-0.0148229074347918,0.0335998572298135,-0.0181945877336463,0.0728570111642802,0.0423444145820733,0.00449440280408336,-0.00734668128320631,-0.0158092624442211,0.000848449324126611,-0.0466102043592338,-0.0594775474155137,-0.00930605027751985,0.00545336620992995,0.0142363804206639,-0.00937615656775309,-0.00433337033427771,0.0862092720573394,0.0707820386858858
"ERR7738946",-0.0108915286981686,-0.0505099160514545,-0.015203327914893,0.0318153599275668,-0.0186422668733234,0.0724912729444869,0.0420991706217184,0.0044736970481527,-0.0098567703063992,-0.0124835265712073,-0.000225450555820032,-0.0472187355065571,-0.0595267764907398,-0.0122284298265707,0.0042401431495132,0.0139668429512045,-0.0115096991684868,-0.00590290948817401,0.0860493674668108,0.0697127426678893
"ERR7738947",0.00259022548999677,-0.0357764865312055,-0.0236341094140723,-0.017437415737921,0.022779520341866,0.0639642139708304,0.0378671228921791,0.0249817615830081,-0.0115489735319062,-0.0173801589728884,0.0283280383592837,-0.0259473509394214,-0.0459849410907221,-0.198350415626756,-0.0398201749838264,0.0164850879416821,-0.0064116492516017,-0.00209914498620578,0.0718481725051877,0.0479671308300209
"ERR7738939",0.0297256333569171,0.0438556520478443,-0.0341334212613845,-0.0434964529638149,-0.0169643370020999,0.0104861274582295,0.0124285543225952,0.0353643443463532,-0.0155981412950222,-0.0152733217918301,0.0497193281242031,0.051398154463055,0.0217382965930141,-0.0571964135197125,-0.0260252843994715,0.0025180449951971,-0.00951793789979247,-0.0111912189453702,0.0677722892032032,0.0565106828049543
"ERR7738940",0.0282949344751349,0.050105506104087,-0.035208899852987,-0.0462555814477831,0.00323000631212914,0.0124932091973358,0.0128071863218077,0.0352891057694692,-0.0139159683278192,-0.0109914979569266,0.0500203065582063,0.053191912820349,0.0225689247934205,-0.0606015232197505,-0.0246701194462974,0.00843834417740754,-0.0115500745379687,-0.0108072659236095,0.0687442460673736,0.0603811892417718
"ERR7738941",0.0271187498058217,0.0537649418284892,-0.0390708997040305,-0.0437278040046068,-0.0037839863697125,0.0102727803699346,0.0178571114451206,0.0404308912120149,-0.0179295979698411,-0.0126555260629977,0.0307767872666116,0.0668035814390877,0.0221598447239388,-0.0567431311144244,-0.0236907271736516,0.00784609429859531,-0.0119629201943068,-0.0152891113720611,0.0636368128711362,0.0556460081092126
"SRR8689382",0.0376276086732477,-0.0462898784130422,-0.0489492761329211,-0.0971082131392129,-0.133525950854527,0.0584700891871976,0.0193556435749683,0.00947855186303118,-0.0231470347025093,-0.0173801589728884,-0.0705687388881794,-0.0177954082092851,-0.100261509990739,-0.0232177119122597,-0.0538738689247266,-0.0213274686699066,-0.0141750859963487,-0.0216926611024641,-0.0195636697150225,0.0160941930228587
"SRR8689383",0.0384061617519681,-0.0459543000382318,-0.0493942603702372,-0.0938902277322551,-0.138879312939047,0.0574527286145478,0.0172169916499564,0.00783422437228199,-0.0201130174848755,-0.0173801589728884,-0.073283590658847,-0.0168063607094847,-0.0981284961015504,0.000437781165040604,-0.0525456675550014,-0.0217540700745054,-0.015832363792285,-0.0223150292576378,-0.0200388548636779,0.0200428897531439
"SRR8689384",0.0368537135328881,-0.0481781671267087,-0.0488859559145676,-0.0917592846564173,-0.153795108258516,0.0590937681980985,0.0179377459772378,0.0093742299554604,-0.0214182213872164,-0.0123245851724454,-0.0697218171711307,-0.0166653922746149,-0.0982456710331348,0.0265967739595098,-0.0459333970113878,-0.0244846538028403,-0.0131166724241837,-0.0212917230078751,-0.0211494722541874,0.0235420704256221
"SRR8689389",0.00373603270763554,-0.107655471354303,-0.0428676584128964,-0.0835318239361783,-0.0947207260773101,0.106501518395378,0.0546048873128905,0.0020198249403634,-0.0206696648912664,-0.0173801589728885,-0.0898056762778734,-0.067897533054252,-0.156879414043659,-0.0832839565162045,-0.0568299325007799,-0.0211889265158551,-0.0142087485218871,-0.0135815451348967,-0.0113319346298766,0.0300450735363834
