"","ModuleColors","Freq"
"1","black",850
"2","blue",4241
"3","brown",1602
"4","cyan",426
"5","darkgreen",184
"6","darkgrey",153
"7","darkolivegreen",84
"8","darkorange",151
"9","darkred",223
"10","darkturquoise",153
"11","green",1048
"12","greenyellow",594
"13","grey",22
"14","grey60",351
"15","lightcyan",378
"16","lightgreen",325
"17","lightyellow",248
"18","magenta",659
"19","midnightblue",418
"20","orange",152
"21","paleturquoise",105
"22","pink",731
"23","purple",629
"24","red",1009
"25","royalblue",224
"26","saddlebrown",120
"27","salmon",455
"28","skyblue",123
"29","steelblue",115
"30","tan",559
"31","turquoise",6902
"32","violet",87
"33","white",135
"34","yellow",1538
