"","ModuleColors","Freq"
"1","black",736
"2","blue",2498
"3","brown",1910
"4","cyan",456
"5","darkgreen",294
"6","darkgrey",269
"7","darkmagenta",132
"8","darkolivegreen",148
"9","darkorange",235
"10","darkred",315
"11","darkturquoise",274
"12","floralwhite",55
"13","green",1349
"14","greenyellow",516
"15","grey",1627
"16","grey60",435
"17","ivory",58
"18","lightcyan",442
"19","lightcyan1",64
"20","lightgreen",390
"21","lightsteelblue1",74
"22","lightyellow",375
"23","magenta",621
"24","mediumpurple3",80
"25","midnightblue",452
"26","orange",251
"27","orangered4",87
"28","paleturquoise",170
"29","pink",731
"30","plum1",95
"31","purple",524
"32","red",771
"33","royalblue",323
"34","saddlebrown",190
"35","salmon",473
"36","sienna3",114
"37","skyblue",194
"38","skyblue3",102
"39","steelblue",171
"40","tan",513
"41","turquoise",4534
"42","violet",154
"43","white",212
"44","yellow",1474
"45","yellowgreen",106
