"","Module","GO_BP","GO_CC","GO_MF","KEGG"
"1","darkturquoise","intracellular protein transport","chromatin","small GTPase binding","Nucleocytoplasmic transport - Arabidopsis thaliana (thale cress)"
"2","midnightblue","electron transport chain","photosystem II reaction center","electron transfer activity","Oxidative phosphorylation - Arabidopsis thaliana (thale cress)"
"3","skyblue3","generation of precursor metabolites and energy","plastid ribosome","structural constituent of ribosome","Thiamine metabolism - Arabidopsis thaliana (thale cress)"
"4","greenyellow","immune response","autophagosome","ADP binding","Plant-pathogen interaction - Arabidopsis thaliana (thale cress)"
"5","blue","plastid organization","plastid thylakoid","ATP-dependent peptidase activity","Porphyrin metabolism - Arabidopsis thaliana (thale cress)"
"6","darkgreen","proteinogenic amino acid metabolic process","CCAAT-binding factor complex","phosphotransferase activity, carboxyl group as acceptor","Circadian rhythm - plant - Arabidopsis thaliana (thale cress)"
"7","saddlebrown","mRNA splicing, via spliceosome","spliceosomal complex","chromatin binding","Spliceosome - Arabidopsis thaliana (thale cress)"
"8","yellowgreen","ribonucleoprotein complex biogenesis","nucleoplasm","RNA helicase activity","mRNA surveillance pathway - Arabidopsis thaliana (thale cress)"
"9","lightcyan","ribonucleoprotein complex biogenesis","preribosome","translation regulator activity","Ribosome biogenesis in eukaryotes - Arabidopsis thaliana (thale cress)"
"10","darkmagenta","chromosome organization","microtubule cytoskeleton","O-acetyltransferase activity","Motor proteins - Arabidopsis thaliana (thale cress)"
"11","lightyellow","monocarboxylic acid metabolic process","cytoskeleton","cytoskeletal protein binding","Fatty acid metabolism - Arabidopsis thaliana (thale cress)"
"12","lightgreen","lipid transport","apoplast","pectinesterase inhibitor activity","Ubiquitin mediated proteolysis - Arabidopsis thaliana (thale cress)"
"13","yellow","pollination","pollen tube","hormone activity","Pentose and glucuronate interconversions - Arabidopsis thaliana (thale cress)"
"14","paleturquoise","lipid storage","lipid droplet","cysteine-type endopeptidase activity","Plant hormone signal transduction - Arabidopsis thaliana (thale cress)"
"15","plum1","fatty acid catabolic process","stromule","RNA-DNA hybrid ribonuclease activity","Ubiquitin mediated proteolysis - Arabidopsis thaliana (thale cress)"
"16","darkgrey","circadian rhythm","endosome membrane","ubiquitin-like protein transferase activity","Circadian rhythm - plant - Arabidopsis thaliana (thale cress)"
"17","magenta","Golgi vesicle transport","endoplasmic reticulum membrane","FAD binding","N-Glycan biosynthesis - Arabidopsis thaliana (thale cress)"
"18","salmon","defense response to bacterium","endosome","ADP binding","Glutathione metabolism - Arabidopsis thaliana (thale cress)"
"19","orangered4","stomatal complex morphogenesis","cell cortex","5'-3' RNA polymerase activity","MAPK signaling pathway - plant - Arabidopsis thaliana (thale cress)"
"20","brown","mitotic cell cycle","cytoskeleton","tubulin binding","Motor proteins - Arabidopsis thaliana (thale cress)"
"21","darkolivegreen","response to brassinosteroid","cytoplasmic side of membrane","pectate lyase activity","Pentose and glucuronate interconversions - Arabidopsis thaliana (thale cress)"
"22","darkred","endoplasmic reticulum to Golgi vesicle-mediated transport","respiratory chain complex","ATPase-coupled ion transmembrane transporter activity","Proteasome - Arabidopsis thaliana (thale cress)"
"23","grey60","cytoplasmic translation","cytosolic ribosome","structural constituent of ribosome","Ribosome - Arabidopsis thaliana (thale cress)"
"24","cyan","cellular response to hypoxia","CCR4-NOT core complex","cis-regulatory region sequence-specific DNA binding","Plant-pathogen interaction - Arabidopsis thaliana (thale cress)"
"25","turquoise","cell wall biogenesis","Casparian strip","lactoperoxidase activity","Phenylpropanoid biosynthesis - Arabidopsis thaliana (thale cress)"
"26","grey",NA,NA,NA,NA
