"","Modules","Freq"
"1","0",1054
"2","1",3833
"3","2",2730
"4","3",2462
"5","4",1353
"6","5",1131
"7","6",905
"8","7",899
"9","8",798
"10","9",745
"11","10",615
"12","11",591
"13","12",583
"14","13",569
"15","14",548
"16","15",538
"17","16",441
"18","17",396
"19","18",395
"20","19",367
"21","20",358
"22","21",348
"23","22",302
"24","23",296
"25","24",293
"26","25",290
"27","26",267
"28","27",239
"29","28",232
"30","29",204
"31","30",167
"32","31",158
"33","32",155
"34","33",130
"35","34",114
"36","35",111
"37","36",110
"38","37",103
"39","38",87
"40","39",77
